s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 1.2526900E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2526900E-016, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000, 1.2496420E-016,-3.2724673E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1973698E-014, 9.2239530E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000, 1.2455820E-016,-6.4684706E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1157429E-014, 5.9873498E-017, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000, 1.2410222E-016,-9.4395809E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1060881E-014, 2.9706410E-017, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000, 1.2359740E-016,-1.2433711E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1080190E-014,-7.3971328E-019, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000, 1.2312150E-016,-1.5197568E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1129342E-014,-2.8854185E-017, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000, 1.2271432E-016,-1.7922633E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1155673E-014,-5.6512006E-017, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000, 1.2223215E-016,-2.0475174E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0980132E-014,-8.2519585E-017, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000, 1.2184897E-016,-2.2987927E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0997686E-014,-1.0803030E-016, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000, 1.2152999E-016,-2.5363683E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0990664E-014,-1.3210684E-016, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000, 1.2110859E-016,-2.7506099E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0990664E-014,-1.5395241E-016, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000, 1.2085796E-016,-2.9722310E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0957311E-014,-1.7636515E-016, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000, 1.2053575E-016,-3.1710834E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0994175E-014,-1.9657260E-016, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000, 1.2022525E-016,-3.3703285E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0915181E-014,-2.1680759E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000, 1.1996059E-016,-3.5585355E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0906404E-014,-2.3589296E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000, 1.1969946E-016,-3.7322379E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0859008E-014,-2.5352433E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000, 1.1945298E-016,-3.9113429E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0894116E-014,-2.7168132E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000, 1.1913380E-016,-4.0814719E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0844965E-014,-2.8901339E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000, 1.1880439E-016,-4.2504305E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0915181E-014,-3.0623866E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000, 1.1853499E-016,-4.4197216E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0962578E-014,-3.2343718E-016, 0.0000000E+000, 0.0000000E+000
 8.2493119E-002, 0.0000000E+000, 0.0000000E+000, 1.0183593E-016,-4.5335692E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7959280E-015,-3.5152099E-016, 0.0000000E+000, 0.0000000E+000
 8.5929304E-002, 0.0000000E+000, 0.0000000E+000, 1.0155557E-016,-4.6389606E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3213778E-015,-3.6234049E-016, 0.0000000E+000, 0.0000000E+000
 8.9365482E-002, 0.0000000E+000, 0.0000000E+000, 1.0134797E-016,-4.7425819E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3536876E-015,-3.7291022E-016, 0.0000000E+000, 0.0000000E+000
 9.2381828E-002, 0.0000000E+000, 0.0000000E+000, 8.7781318E-017,-4.8181850E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4747861E-015,-3.9403718E-016, 0.0000000E+000, 0.0000000E+000
 9.5398173E-002, 0.0000000E+000, 0.0000000E+000, 8.7649685E-017,-4.8960175E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1504254E-015,-4.0195207E-016, 0.0000000E+000, 0.0000000E+000
 9.8414518E-002, 0.0000000E+000, 0.0000000E+000, 8.7537901E-017,-4.9611018E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1504254E-015,-4.0857228E-016, 0.0000000E+000, 0.0000000E+000
 1.0143086E-001, 0.0000000E+000, 0.0000000E+000, 8.7388530E-017,-5.0337313E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1297215E-015,-4.1598460E-016, 0.0000000E+000, 0.0000000E+000
 1.0406190E-001, 0.0000000E+000, 0.0000000E+000, 7.4960229E-017,-5.0837719E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3264908E-015,-4.3341696E-016, 0.0000000E+000, 0.0000000E+000
 1.0669293E-001, 0.0000000E+000, 0.0000000E+000, 7.4825495E-017,-5.1321563E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9599025E-015,-4.3839014E-016, 0.0000000E+000, 0.0000000E+000
 1.0932397E-001, 0.0000000E+000, 0.0000000E+000, 7.4788271E-017,-5.1815649E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0205610E-015,-4.4336822E-016, 0.0000000E+000, 0.0000000E+000
 1.1195500E-001, 0.0000000E+000, 0.0000000E+000, 7.4627053E-017,-5.2269878E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9941877E-015,-4.4807172E-016, 0.0000000E+000, 0.0000000E+000
 1.1458603E-001, 0.0000000E+000, 0.0000000E+000, 7.4532376E-017,-5.2768557E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0416596E-015,-4.5315319E-016, 0.0000000E+000, 0.0000000E+000
 1.1689781E-001, 0.0000000E+000, 0.0000000E+000, 6.4218548E-017,-5.3095115E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4142971E-015,-4.6673260E-016, 0.0000000E+000, 0.0000000E+000
 1.1920959E-001, 0.0000000E+000, 0.0000000E+000, 6.4188333E-017,-5.3445349E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9880780E-015,-4.7026516E-016, 0.0000000E+000, 0.0000000E+000
 1.2152136E-001, 0.0000000E+000, 0.0000000E+000, 6.4139266E-017,-5.3729984E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0751227E-015,-4.7316058E-016, 0.0000000E+000, 0.0000000E+000
 1.2383314E-001, 0.0000000E+000, 0.0000000E+000, 6.4068561E-017,-5.4081623E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1201459E-015,-4.7674766E-016, 0.0000000E+000, 0.0000000E+000
 1.2614492E-001, 0.0000000E+000, 0.0000000E+000, 6.3979965E-017,-5.4380833E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0811258E-015,-4.7982837E-016, 0.0000000E+000, 0.0000000E+000
 1.2845670E-001, 0.0000000E+000, 0.0000000E+000, 6.3839935E-017,-5.4697069E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1201459E-015,-4.8313076E-016, 0.0000000E+000, 0.0000000E+000
 1.3051111E-001, 0.0000000E+000, 0.0000000E+000, 5.5529224E-017,-5.4909053E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4614995E-015,-4.9356131E-016, 0.0000000E+000, 0.0000000E+000
 1.3256553E-001, 0.0000000E+000, 0.0000000E+000, 5.5519720E-017,-5.5118500E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5324280E-015,-4.9566528E-016, 0.0000000E+000, 0.0000000E+000
 1.3461994E-001, 0.0000000E+000, 0.0000000E+000, 5.5478374E-017,-5.5311721E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2487138E-015,-4.9763884E-016, 0.0000000E+000, 0.0000000E+000
 1.3667436E-001, 0.0000000E+000, 0.0000000E+000, 5.5360078E-017,-5.5581114E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2723566E-015,-5.0045106E-016, 0.0000000E+000, 0.0000000E+000
 1.3872877E-001, 0.0000000E+000, 0.0000000E+000, 5.5333637E-017,-5.5728157E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2656015E-015,-5.0194793E-016, 0.0000000E+000, 0.0000000E+000
 1.4078319E-001, 0.0000000E+000, 0.0000000E+000, 5.5205257E-017,-5.5947393E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4209689E-015,-5.0426868E-016, 0.0000000E+000, 0.0000000E+000
 1.4283760E-001, 0.0000000E+000, 0.0000000E+000, 5.5164810E-017,-5.6175870E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2959995E-015,-5.0659389E-016, 0.0000000E+000, 0.0000000E+000
 1.4489202E-001, 0.0000000E+000, 0.0000000E+000, 5.5058148E-017,-5.6455916E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2926219E-015,-5.0950101E-016, 0.0000000E+000, 0.0000000E+000
 1.4671868E-001, 0.0000000E+000, 0.0000000E+000, 4.7594344E-017,-5.6553455E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9040769E-015,-5.1794021E-016, 0.0000000E+000, 0.0000000E+000
 1.4854535E-001, 0.0000000E+000, 0.0000000E+000, 4.7542137E-017,-5.6684262E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6419690E-015,-5.1930049E-016, 0.0000000E+000, 0.0000000E+000
 1.5037201E-001, 0.0000000E+000, 0.0000000E+000, 4.7494452E-017,-5.6823056E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6039824E-015,-5.2073611E-016, 0.0000000E+000, 0.0000000E+000
 1.5219869E-001, 0.0000000E+000, 0.0000000E+000, 4.7393875E-017,-5.6971029E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9002783E-015,-5.2231641E-016, 0.0000000E+000, 0.0000000E+000
 1.5402535E-001, 0.0000000E+000, 0.0000000E+000, 4.7321915E-017,-5.7119266E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6191770E-015,-5.2387074E-016, 0.0000000E+000, 0.0000000E+000
 1.5585202E-001, 0.0000000E+000, 0.0000000E+000, 4.7171177E-017,-5.7271097E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4292438E-015,-5.2553979E-016, 0.0000000E+000, 0.0000000E+000
 1.5767868E-001, 0.0000000E+000, 0.0000000E+000, 4.7049807E-017,-5.7439100E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7635263E-015,-5.2734119E-016, 0.0000000E+000, 0.0000000E+000
 1.5950535E-001, 0.0000000E+000, 0.0000000E+000, 4.6973584E-017,-5.7582478E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6495664E-015,-5.2885119E-016, 0.0000000E+000, 0.0000000E+000
 1.6133201E-001, 0.0000000E+000, 0.0000000E+000, 4.6898761E-017,-5.7741700E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7559290E-015,-5.3051824E-016, 0.0000000E+000, 0.0000000E+000
 1.6315868E-001, 0.0000000E+000, 0.0000000E+000, 4.6827820E-017,-5.7899654E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7217410E-015,-5.3216871E-016, 0.0000000E+000, 0.0000000E+000
 1.6479789E-001, 0.0000000E+000, 0.0000000E+000, 4.0703182E-017,-5.8009570E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3770144E-015,-5.3939251E-016, 0.0000000E+000, 0.0000000E+000
 1.6643709E-001, 0.0000000E+000, 0.0000000E+000, 4.0606167E-017,-5.8118148E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0764651E-015,-5.4057532E-016, 0.0000000E+000, 0.0000000E+000
 1.6807629E-001, 0.0000000E+000, 0.0000000E+000, 4.0516679E-017,-5.8237321E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0679989E-015,-5.4185653E-016, 0.0000000E+000, 0.0000000E+000
 1.6971549E-001, 0.0000000E+000, 0.0000000E+000, 4.0453101E-017,-5.8320952E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1187960E-015,-5.4275642E-016, 0.0000000E+000, 0.0000000E+000
 1.7135470E-001, 0.0000000E+000, 0.0000000E+000, 4.0396143E-017,-5.8437122E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1568938E-015,-5.4397507E-016, 0.0000000E+000, 0.0000000E+000
 1.7299390E-001, 0.0000000E+000, 0.0000000E+000, 4.0316705E-017,-5.8519161E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1357283E-015,-5.4487490E-016, 0.0000000E+000, 0.0000000E+000
 1.7463310E-001, 0.0000000E+000, 0.0000000E+000, 4.0221072E-017,-5.8612375E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2119240E-015,-5.4590268E-016, 0.0000000E+000, 0.0000000E+000
 1.7627230E-001, 0.0000000E+000, 0.0000000E+000, 4.0099488E-017,-5.8729612E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0722320E-015,-5.4719664E-016, 0.0000000E+000, 0.0000000E+000
 1.7791151E-001, 0.0000000E+000, 0.0000000E+000, 4.0021226E-017,-5.8847177E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1611269E-015,-5.4845054E-016, 0.0000000E+000, 0.0000000E+000
 1.7955071E-001, 0.0000000E+000, 0.0000000E+000, 3.9964180E-017,-5.8959088E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9537055E-015,-5.4962670E-016, 0.0000000E+000, 0.0000000E+000
 1.8118991E-001, 0.0000000E+000, 0.0000000E+000, 3.9872277E-017,-5.9074592E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2500218E-015,-5.5087365E-016, 0.0000000E+000, 0.0000000E+000
 1.8282913E-001, 0.0000000E+000, 0.0000000E+000, 3.9796135E-017,-5.9203870E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2034578E-015,-5.5224257E-016, 0.0000000E+000, 0.0000000E+000
 1.8446833E-001, 0.0000000E+000, 0.0000000E+000, 3.9702416E-017,-5.9335409E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2203901E-015,-5.5365168E-016, 0.0000000E+000, 0.0000000E+000
 1.8594106E-001, 0.0000000E+000, 0.0000000E+000, 3.4150756E-017,-5.9409730E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6279196E-015,-5.5994655E-016, 0.0000000E+000, 0.0000000E+000
