s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 1.2520137E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2520137E-016, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000, 1.2479008E-016,-2.9300813E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1982475E-014, 9.5489267E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000, 1.2432181E-016,-5.8453724E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1071413E-014, 6.5868083E-017, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000, 1.2386937E-016,-8.6645180E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1053859E-014, 3.7224192E-017, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000, 1.2343254E-016,-1.1397298E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1071413E-014, 9.4595597E-018, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000, 1.2297302E-016,-1.4105663E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1129342E-014,-1.8083607E-017, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000, 1.2260863E-016,-1.6702580E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1106522E-014,-4.4417162E-017, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000, 1.2218313E-016,-1.9204026E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0952045E-014,-6.9857134E-017, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000, 1.2185910E-016,-2.1651504E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1024017E-014,-9.4655948E-017, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000, 1.2143540E-016,-2.3967451E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1004708E-014,-1.1823911E-016, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000, 1.2107577E-016,-2.6167423E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1001197E-014,-1.4059846E-016, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000, 1.2080284E-016,-2.8378709E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0918692E-014,-1.6298425E-016, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000, 1.2046687E-016,-3.0359378E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0971355E-014,-1.8312691E-016, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000, 1.2017183E-016,-3.2301727E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0936246E-014,-2.0284544E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000, 1.1984898E-016,-3.4199635E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0881828E-014,-2.2214737E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000, 1.1961024E-016,-3.5933863E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0853742E-014,-2.3972839E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000, 1.1925216E-016,-3.7827976E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0873051E-014,-2.5902760E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000, 1.1903584E-016,-3.9501924E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0841454E-014,-2.7598339E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000, 1.1869954E-016,-4.1230568E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0864274E-014,-2.9360614E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000, 1.1847809E-016,-4.2873174E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0923958E-014,-3.1025365E-016, 0.0000000E+000, 0.0000000E+000
 8.2484484E-002, 0.0000000E+000, 0.0000000E+000, 1.0145581E-016,-4.4042724E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8246567E-015,-3.3897143E-016, 0.0000000E+000, 0.0000000E+000
 8.5912034E-002, 0.0000000E+000, 0.0000000E+000, 1.0131733E-016,-4.5160239E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2659085E-015,-3.5028506E-016, 0.0000000E+000, 0.0000000E+000
 8.9339577E-002, 0.0000000E+000, 0.0000000E+000, 1.0104381E-016,-4.6231584E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2578106E-015,-3.6127203E-016, 0.0000000E+000, 0.0000000E+000
 9.2349008E-002, 0.0000000E+000, 0.0000000E+000, 8.7575678E-017,-4.7020752E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4850369E-015,-3.8263184E-016, 0.0000000E+000, 0.0000000E+000
 9.5358439E-002, 0.0000000E+000, 0.0000000E+000, 8.7382194E-017,-4.7797416E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1622366E-015,-3.9059196E-016, 0.0000000E+000, 0.0000000E+000
 9.8367870E-002, 0.0000000E+000, 0.0000000E+000, 8.7269029E-017,-4.8560634E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1507080E-015,-3.9833731E-016, 0.0000000E+000, 0.0000000E+000
 1.0137730E-001, 0.0000000E+000, 0.0000000E+000, 8.7118750E-017,-4.9307752E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0677022E-015,-4.0595877E-016, 0.0000000E+000, 0.0000000E+000
 1.0400420E-001, 0.0000000E+000, 0.0000000E+000, 7.4796795E-017,-4.9801908E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2878315E-015,-4.2322228E-016, 0.0000000E+000, 0.0000000E+000
 1.0663110E-001, 0.0000000E+000, 0.0000000E+000, 7.4604731E-017,-5.0282556E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9708544E-015,-4.2822083E-016, 0.0000000E+000, 0.0000000E+000
 1.0925800E-001, 0.0000000E+000, 0.0000000E+000, 7.4570899E-017,-5.0779102E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9761373E-015,-4.3322012E-016, 0.0000000E+000, 0.0000000E+000
 1.1188490E-001, 0.0000000E+000, 0.0000000E+000, 7.4504395E-017,-5.1175981E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0474572E-015,-4.3725542E-016, 0.0000000E+000, 0.0000000E+000
 1.1451180E-001, 0.0000000E+000, 0.0000000E+000, 7.4380850E-017,-5.1619435E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0976452E-015,-4.4181350E-016, 0.0000000E+000, 0.0000000E+000
 1.1682008E-001, 0.0000000E+000, 0.0000000E+000, 6.4085476E-017,-5.1945657E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2496613E-015,-4.5537110E-016, 0.0000000E+000, 0.0000000E+000
 1.1912836E-001, 0.0000000E+000, 0.0000000E+000, 6.4056314E-017,-5.2247660E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0692959E-015,-4.5842028E-016, 0.0000000E+000, 0.0000000E+000
 1.2143664E-001, 0.0000000E+000, 0.0000000E+000, 6.3966922E-017,-5.2560439E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9340218E-015,-4.6163746E-016, 0.0000000E+000, 0.0000000E+000
 1.2374492E-001, 0.0000000E+000, 0.0000000E+000, 6.3879996E-017,-5.2891983E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1715029E-015,-4.6503983E-016, 0.0000000E+000, 0.0000000E+000
 1.2605320E-001, 0.0000000E+000, 0.0000000E+000, 6.3819167E-017,-5.3222659E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0302167E-015,-4.6840742E-016, 0.0000000E+000, 0.0000000E+000
 1.2836148E-001, 0.0000000E+000, 0.0000000E+000, 6.3772851E-017,-5.3585407E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2015638E-015,-4.7208122E-016, 0.0000000E+000, 0.0000000E+000
 1.3041382E-001, 0.0000000E+000, 0.0000000E+000, 5.5466804E-017,-5.3837442E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4129183E-015,-4.8290762E-016, 0.0000000E+000, 0.0000000E+000
 1.3246617E-001, 0.0000000E+000, 0.0000000E+000, 5.5411198E-017,-5.4049488E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3960135E-015,-4.8508368E-016, 0.0000000E+000, 0.0000000E+000
 1.3451850E-001, 0.0000000E+000, 0.0000000E+000, 5.5287362E-017,-5.4332730E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3689658E-015,-4.8803993E-016, 0.0000000E+000, 0.0000000E+000
 1.3657086E-001, 0.0000000E+000, 0.0000000E+000, 5.5235971E-017,-5.4518627E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2371083E-015,-4.8995030E-016, 0.0000000E+000, 0.0000000E+000
 1.3862319E-001, 0.0000000E+000, 0.0000000E+000, 5.5117332E-017,-5.4733396E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2776798E-015,-4.9221663E-016, 0.0000000E+000, 0.0000000E+000
 1.4067553E-001, 0.0000000E+000, 0.0000000E+000, 5.5129444E-017,-5.4951368E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3960135E-015,-4.9438424E-016, 0.0000000E+000, 0.0000000E+000
 1.4272788E-001, 0.0000000E+000, 0.0000000E+000, 5.5067228E-017,-5.5205595E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3757277E-015,-4.9698873E-016, 0.0000000E+000, 0.0000000E+000
 1.4478022E-001, 0.0000000E+000, 0.0000000E+000, 5.4890706E-017,-5.5476921E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1322985E-015,-4.9987850E-016, 0.0000000E+000, 0.0000000E+000
 1.4660554E-001, 0.0000000E+000, 0.0000000E+000, 4.7508343E-017,-5.5636743E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9191163E-015,-5.0885909E-016, 0.0000000E+000, 0.0000000E+000
 1.4843085E-001, 0.0000000E+000, 0.0000000E+000, 4.7461008E-017,-5.5736142E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6796230E-015,-5.0990042E-016, 0.0000000E+000, 0.0000000E+000
 1.5025616E-001, 0.0000000E+000, 0.0000000E+000, 4.7419364E-017,-5.5882256E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6226008E-015,-5.1140319E-016, 0.0000000E+000, 0.0000000E+000
 1.5208147E-001, 0.0000000E+000, 0.0000000E+000, 4.7362945E-017,-5.6043602E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8773001E-015,-5.1307307E-016, 0.0000000E+000, 0.0000000E+000
 1.5390679E-001, 0.0000000E+000, 0.0000000E+000, 4.7296843E-017,-5.6213999E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6264023E-015,-5.1484315E-016, 0.0000000E+000, 0.0000000E+000
 1.5573211E-001, 0.0000000E+000, 0.0000000E+000, 4.7189296E-017,-5.6376474E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4895490E-015,-5.1657545E-016, 0.0000000E+000, 0.0000000E+000
 1.5755741E-001, 0.0000000E+000, 0.0000000E+000, 4.7086585E-017,-5.6552391E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7822630E-015,-5.1843733E-016, 0.0000000E+000, 0.0000000E+000
 1.5938273E-001, 0.0000000E+000, 0.0000000E+000, 4.7003291E-017,-5.6727377E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5351668E-015,-5.2027048E-016, 0.0000000E+000, 0.0000000E+000
 1.6120805E-001, 0.0000000E+000, 0.0000000E+000, 4.6888264E-017,-5.6949336E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8430867E-015,-5.2260510E-016, 0.0000000E+000, 0.0000000E+000
 1.6303335E-001, 0.0000000E+000, 0.0000000E+000, 4.6758292E-017,-5.7081674E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6568142E-015,-5.2405845E-016, 0.0000000E+000, 0.0000000E+000
 1.6467178E-001, 0.0000000E+000, 0.0000000E+000, 4.0722105E-017,-5.7188137E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2859414E-015,-5.3115926E-016, 0.0000000E+000, 0.0000000E+000
 1.6631019E-001, 0.0000000E+000, 0.0000000E+000, 4.0578418E-017,-5.7308964E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2266497E-015,-5.3251122E-016, 0.0000000E+000, 0.0000000E+000
 1.6794860E-001, 0.0000000E+000, 0.0000000E+000, 4.0528084E-017,-5.7425601E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0064235E-015,-5.3372792E-016, 0.0000000E+000, 0.0000000E+000
 1.6958703E-001, 0.0000000E+000, 0.0000000E+000, 4.0496733E-017,-5.7509431E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1842985E-015,-5.3459757E-016, 0.0000000E+000, 0.0000000E+000
 1.7122544E-001, 0.0000000E+000, 0.0000000E+000, 4.0429804E-017,-5.7624869E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0868908E-015,-5.3581888E-016, 0.0000000E+000, 0.0000000E+000
 1.7286386E-001, 0.0000000E+000, 0.0000000E+000, 4.0315661E-017,-5.7721674E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1165366E-015,-5.3690108E-016, 0.0000000E+000, 0.0000000E+000
 1.7450228E-001, 0.0000000E+000, 0.0000000E+000, 4.0240560E-017,-5.7833652E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1292420E-015,-5.3809596E-016, 0.0000000E+000, 0.0000000E+000
 1.7614070E-001, 0.0000000E+000, 0.0000000E+000, 4.0201021E-017,-5.7958614E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1970039E-015,-5.3938512E-016, 0.0000000E+000, 0.0000000E+000
 1.7777911E-001, 0.0000000E+000, 0.0000000E+000, 4.0093698E-017,-5.8074710E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9767776E-015,-5.4065341E-016, 0.0000000E+000, 0.0000000E+000
 1.7941754E-001, 0.0000000E+000, 0.0000000E+000, 4.0006921E-017,-5.8194798E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0403044E-015,-5.4194106E-016, 0.0000000E+000, 0.0000000E+000
 1.8105595E-001, 0.0000000E+000, 0.0000000E+000, 3.9836207E-017,-5.8326671E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2054741E-015,-5.4343050E-016, 0.0000000E+000, 0.0000000E+000
 1.8269436E-001, 0.0000000E+000, 0.0000000E+000, 3.9664673E-017,-5.8462206E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1207717E-015,-5.4495739E-016, 0.0000000E+000, 0.0000000E+000
 1.8433279E-001, 0.0000000E+000, 0.0000000E+000, 3.9535869E-017,-5.8587626E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1885336E-015,-5.4634039E-016, 0.0000000E+000, 0.0000000E+000
 1.8580511E-001, 0.0000000E+000, 0.0000000E+000, 3.4076634E-017,-5.8669194E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8692710E-015,-5.5261531E-016, 0.0000000E+000, 0.0000000E+000
