s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-4.6698793E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6698793E-012, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-8.2275940E-012,-3.3438614E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1936834E-014,-8.2276274E-012, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-1.0413219E-011,-6.4867014E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1080190E-014,-1.0413284E-011, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-1.2872826E-011,-9.4685201E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1046838E-014,-1.2872921E-011, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-1.5616191E-011,-1.2391200E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1088968E-014,-1.5616315E-011, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-1.8653279E-011,-1.5074881E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1097745E-014,-1.8653430E-011, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-2.1996431E-011,-1.7775060E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1087212E-014,-2.1996609E-011, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-2.5660579E-011,-2.0342166E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0966088E-014,-2.5660782E-011, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-2.9663288E-011,-2.2901099E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1018751E-014,-2.9663517E-011, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-3.8071072E-011,-2.5306663E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1011729E-014,-3.8071325E-011, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-4.3089327E-011,-2.7449882E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0906404E-014,-4.3089602E-011, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-5.3345455E-011,-2.9552712E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0938002E-014,-5.3345751E-011, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-5.9504356E-011,-3.1507040E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0938002E-014,-5.9504671E-011, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-7.1787891E-011,-3.3343531E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0938002E-014,-7.1788224E-011, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-8.5396883E-011,-3.5132915E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0844965E-014,-8.5397235E-011, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-1.0041483E-010,-3.6882117E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0867785E-014,-1.0041520E-010, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-1.2430553E-010,-3.8512750E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0844965E-014,-1.2430591E-010, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-1.5100272E-010,-4.0124557E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0876562E-014,-1.5100312E-010, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-1.8058194E-010,-4.1739219E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0829166E-014,-1.8058236E-010, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-2.1317249E-010,-4.3269723E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0866030E-014,-2.1317292E-010, 0.0000000E+000, 0.0000000E+000
 8.2493044E-002, 0.0000000E+000, 0.0000000E+000,-8.5458253E-011,-4.4478797E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8708726E-015,-8.5458698E-011, 0.0000000E+000, 0.0000000E+000
 8.5929140E-002, 0.0000000E+000, 0.0000000E+000,-1.0727945E-010,-4.5526780E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3417874E-015,-1.0727990E-010, 0.0000000E+000, 0.0000000E+000
 8.9365244E-002, 0.0000000E+000, 0.0000000E+000,-1.2425209E-010,-4.6653481E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2448557E-015,-1.2425256E-010, 0.0000000E+000, 0.0000000E+000
 9.2379905E-002, 0.0000000E+000, 0.0000000E+000,-5.3222898E-011,-4.7429943E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5232586E-015,-5.3223372E-011, 0.0000000E+000, 0.0000000E+000
 9.5394567E-002, 0.0000000E+000, 0.0000000E+000,-5.9348658E-011,-4.8161097E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1572856E-015,-5.9349140E-011, 0.0000000E+000, 0.0000000E+000
 9.8409221E-002, 0.0000000E+000, 0.0000000E+000,-7.1579319E-011,-4.8906017E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0905358E-015,-7.1579809E-011, 0.0000000E+000, 0.0000000E+000
 1.0142388E-001, 0.0000000E+000, 0.0000000E+000,-8.5118725E-011,-4.9629252E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0905358E-015,-8.5119222E-011, 0.0000000E+000, 0.0000000E+000
 1.0405415E-001, 0.0000000E+000, 0.0000000E+000,-3.3378101E-011,-5.0166784E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3418027E-015,-3.3378602E-011, 0.0000000E+000, 0.0000000E+000
 1.0668442E-001, 0.0000000E+000, 0.0000000E+000,-3.7993545E-011,-5.0699793E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0094034E-015,-3.7994052E-011, 0.0000000E+000, 0.0000000E+000
 1.0931470E-001, 0.0000000E+000, 0.0000000E+000,-4.7544819E-011,-5.1249838E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9170703E-015,-4.7545331E-011, 0.0000000E+000, 0.0000000E+000
 1.1194497E-001, 0.0000000E+000, 0.0000000E+000,-5.3261239E-011,-5.1758893E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9671940E-015,-5.3261756E-011, 0.0000000E+000, 0.0000000E+000
 1.1457524E-001, 0.0000000E+000, 0.0000000E+000,-6.4710007E-011,-5.2317518E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0173177E-015,-6.4710530E-011, 0.0000000E+000, 0.0000000E+000
 1.1688567E-001, 0.0000000E+000, 0.0000000E+000,-2.5164942E-011,-5.2701228E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5231559E-015,-2.5165469E-011, 0.0000000E+000, 0.0000000E+000
 1.1919610E-001, 0.0000000E+000, 0.0000000E+000,-2.9061909E-011,-5.3078413E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9044772E-015,-2.9062440E-011, 0.0000000E+000, 0.0000000E+000
 1.2150653E-001, 0.0000000E+000, 0.0000000E+000,-3.3332778E-011,-5.3434907E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0246090E-015,-3.3333313E-011, 0.0000000E+000, 0.0000000E+000
 1.2381695E-001, 0.0000000E+000, 0.0000000E+000,-3.7949574E-011,-5.3806635E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0906814E-015,-3.7950112E-011, 0.0000000E+000, 0.0000000E+000
 1.2612738E-001, 0.0000000E+000, 0.0000000E+000,-4.7453733E-011,-5.4244304E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9915727E-015,-4.7454276E-011, 0.0000000E+000, 0.0000000E+000
 1.2843780E-001, 0.0000000E+000, 0.0000000E+000,-5.3101558E-011,-5.4595206E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1657638E-015,-5.3102104E-011, 0.0000000E+000, 0.0000000E+000
 1.3049157E-001, 0.0000000E+000, 0.0000000E+000,-2.1672760E-011,-5.4840449E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4733640E-015,-2.1673309E-011, 0.0000000E+000, 0.0000000E+000
 1.3254534E-001, 0.0000000E+000, 0.0000000E+000,-2.5243002E-011,-5.5130876E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3787627E-015,-2.5243553E-011, 0.0000000E+000, 0.0000000E+000
 1.3459910E-001, 0.0000000E+000, 0.0000000E+000,-2.9159717E-011,-5.5329486E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2233462E-015,-2.9160270E-011, 0.0000000E+000, 0.0000000E+000
 1.3665287E-001, 0.0000000E+000, 0.0000000E+000,-3.3407004E-011,-5.5569608E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3517337E-015,-3.3407560E-011, 0.0000000E+000, 0.0000000E+000
 1.3870664E-001, 0.0000000E+000, 0.0000000E+000,-3.7994277E-011,-5.5819710E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2469965E-015,-3.7994836E-011, 0.0000000E+000, 0.0000000E+000
 1.4076041E-001, 0.0000000E+000, 0.0000000E+000,-4.7444636E-011,-5.6072874E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3247048E-015,-4.7445197E-011, 0.0000000E+000, 0.0000000E+000
 1.4281417E-001, 0.0000000E+000, 0.0000000E+000,-5.3012905E-011,-5.6366693E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2841613E-015,-5.3013468E-011, 0.0000000E+000, 0.0000000E+000
 1.4486794E-001, 0.0000000E+000, 0.0000000E+000,-5.8961618E-011,-5.6680538E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1929386E-015,-5.8962185E-011, 0.0000000E+000, 0.0000000E+000
 1.4669421E-001, 0.0000000E+000, 0.0000000E+000,-2.5215210E-011,-5.6892921E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9317052E-015,-2.5215779E-011, 0.0000000E+000, 0.0000000E+000
 1.4852050E-001, 0.0000000E+000, 0.0000000E+000,-2.9047251E-011,-5.7068969E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6277480E-015,-2.9047822E-011, 0.0000000E+000, 0.0000000E+000
 1.5034679E-001, 0.0000000E+000, 0.0000000E+000,-3.3223413E-011,-5.7255997E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7189351E-015,-3.3223985E-011, 0.0000000E+000, 0.0000000E+000
 1.5217306E-001, 0.0000000E+000, 0.0000000E+000,-3.7721623E-011,-5.7458060E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6581437E-015,-3.7722197E-011, 0.0000000E+000, 0.0000000E+000
 1.5399934E-001, 0.0000000E+000, 0.0000000E+000,-4.2558122E-011,-5.7660731E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6125501E-015,-4.2558699E-011, 0.0000000E+000, 0.0000000E+000
 1.5582563E-001, 0.0000000E+000, 0.0000000E+000,-4.7723432E-011,-5.7868452E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5631571E-015,-4.7724010E-011, 0.0000000E+000, 0.0000000E+000
 1.5765192E-001, 0.0000000E+000, 0.0000000E+000,-5.3233232E-011,-5.8064194E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7341330E-015,-5.3233812E-011, 0.0000000E+000, 0.0000000E+000
 1.5947819E-001, 0.0000000E+000, 0.0000000E+000,-5.9083077E-011,-5.8264867E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5555581E-015,-5.9083659E-011, 0.0000000E+000, 0.0000000E+000
 1.6130447E-001, 0.0000000E+000, 0.0000000E+000,-7.0858142E-011,-5.8489090E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7341330E-015,-7.0858727E-011, 0.0000000E+000, 0.0000000E+000
 1.6313076E-001, 0.0000000E+000, 0.0000000E+000,-7.7717364E-011,-5.8697074E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5745555E-015,-7.7717951E-011, 0.0000000E+000, 0.0000000E+000
 1.6476989E-001, 0.0000000E+000, 0.0000000E+000,-3.7571000E-011,-5.8841594E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3433554E-015,-3.7571589E-011, 0.0000000E+000, 0.0000000E+000
 1.6640900E-001, 0.0000000E+000, 0.0000000E+000,-3.8020253E-011,-5.9048045E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1528573E-015,-3.8020843E-011, 0.0000000E+000, 0.0000000E+000
 1.6804813E-001, 0.0000000E+000, 0.0000000E+000,-4.2816674E-011,-5.9152839E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0131588E-015,-4.2817266E-011, 0.0000000E+000, 0.0000000E+000
 1.6968726E-001, 0.0000000E+000, 0.0000000E+000,-4.7930391E-011,-5.9274731E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0343252E-015,-4.7930983E-011, 0.0000000E+000, 0.0000000E+000
 1.7132638E-001, 0.0000000E+000, 0.0000000E+000,-5.3370904E-011,-5.9417114E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2205900E-015,-5.3371498E-011, 0.0000000E+000, 0.0000000E+000
 1.7296551E-001, 0.0000000E+000, 0.0000000E+000,-6.4428577E-011,-5.9563091E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0385585E-015,-6.4429172E-011, 0.0000000E+000, 0.0000000E+000
 1.7460464E-001, 0.0000000E+000, 0.0000000E+000,-7.0798236E-011,-5.9710598E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0935913E-015,-7.0798833E-011, 0.0000000E+000, 0.0000000E+000
 1.7624377E-001, 0.0000000E+000, 0.0000000E+000,-7.7521842E-011,-5.9878132E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1697905E-015,-7.7522441E-011, 0.0000000E+000, 0.0000000E+000
 1.7788288E-001, 0.0000000E+000, 0.0000000E+000,-8.4598360E-011,-6.0051192E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0173920E-015,-8.4598961E-011, 0.0000000E+000, 0.0000000E+000
 1.7952201E-001, 0.0000000E+000, 0.0000000E+000,-9.2033578E-011,-6.0211342E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9115598E-015,-9.2034180E-011, 0.0000000E+000, 0.0000000E+000
 1.8116114E-001, 0.0000000E+000, 0.0000000E+000,-9.9833402E-011,-6.0369093E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1359242E-015,-9.9834006E-011, 0.0000000E+000, 0.0000000E+000
 1.8280026E-001, 0.0000000E+000, 0.0000000E+000,-1.1509914E-010,-6.0538690E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2375231E-015,-1.1509975E-010, 0.0000000E+000, 0.0000000E+000
 1.8443939E-001, 0.0000000E+000, 0.0000000E+000,-1.2390927E-010,-6.0717404E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0427918E-015,-1.2390987E-010, 0.0000000E+000, 0.0000000E+000
 1.8591227E-001, 0.0000000E+000, 0.0000000E+000,-5.8924545E-011,-6.0871430E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8112894E-015,-5.8925154E-011, 0.0000000E+000, 0.0000000E+000
