,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T11:36:21.189+01:00,   0.395E-02,   0.00395,   0.385E+01
      2,2020-11-13T11:36:21.945+01:00,   0.395E-02,   0.00791,   0.512E+01
      3,2020-11-13T11:36:22.714+01:00,   0.395E-02,   0.01186,   0.636E+01
      4,2020-11-13T11:36:23.463+01:00,   0.395E-02,   0.01581,   0.763E+01
      5,2020-11-13T11:36:24.197+01:00,   0.395E-02,   0.01976,   0.884E+01
      6,2020-11-13T11:36:24.957+01:00,   0.395E-02,   0.02372,   0.101E+02
      7,2020-11-13T11:36:25.695+01:00,   0.395E-02,   0.02767,   0.113E+02
      8,2020-11-13T11:36:26.459+01:00,   0.395E-02,   0.03162,   0.126E+02
      9,2020-11-13T11:36:27.193+01:00,   0.395E-02,   0.03558,   0.138E+02
     10,2020-11-13T11:36:27.953+01:00,   0.395E-02,   0.03953,   0.151E+02
     20,2020-11-13T11:36:35.461+01:00,   0.395E-02,   0.07906,   0.276E+02
     30,2020-11-13T11:36:43.734+01:00,   0.263E-02,   0.10926,   0.413E+02
     40,2020-11-13T11:36:51.781+01:00,   0.205E-02,   0.13247,   0.546E+02
     50,2020-11-13T11:36:59.490+01:00,   0.183E-02,   0.15208,   0.674E+02
     60,2020-11-13T11:37:06.364+01:00,   0.164E-02,   0.16959,   0.791E+02
     70,2020-11-13T11:37:13.375+01:00,   0.147E-02,   0.18581,   0.910E+02
     80,2020-11-13T11:37:20.316+01:00,   0.147E-02,   0.20053,   0.103E+03
     90,2020-11-13T11:37:26.923+01:00,   0.132E-02,   0.21466,   0.114E+03
    100,2020-11-13T11:37:32.855+01:00,   0.132E-02,   0.22791,   0.124E+03
    200,2020-11-13T11:38:32.328+01:00,   0.960E-03,   0.33864,   0.228E+03
    300,2020-11-13T11:39:28.029+01:00,   0.776E-03,   0.42727,   0.328E+03
    400,2020-11-13T11:40:22.330+01:00,   0.698E-03,   0.50272,   0.427E+03
    500,2020-11-13T11:41:15.387+01:00,   0.628E-03,   0.57078,   0.524E+03
    600,2020-11-13T11:42:07.419+01:00,   0.628E-03,   0.63357,   0.620E+03
    700,2020-11-13T11:42:58.884+01:00,   0.565E-03,   0.69065,   0.716E+03
    800,2020-11-13T11:43:49.724+01:00,   0.508E-03,   0.74619,   0.811E+03
    900,2020-11-13T11:44:39.283+01:00,   0.508E-03,   0.79704,   0.904E+03
   1000,2020-11-13T11:45:28.986+01:00,   0.508E-03,   0.84788,   0.997E+03
   1100,2020-11-13T11:46:18.858+01:00,   0.457E-03,   0.89495,   0.109E+04
   1200,2020-11-13T11:47:07.849+01:00,   0.457E-03,   0.94070,   0.118E+04
   1300,2020-11-13T11:47:56.840+01:00,   0.457E-03,   0.98644,   0.127E+04
   1400,2020-11-13T11:48:45.705+01:00,   0.412E-03,   1.03113,   0.137E+04
   1500,2020-11-13T11:49:33.940+01:00,   0.412E-03,   1.07230,   0.146E+04
   1600,2020-11-13T11:50:21.744+01:00,   0.412E-03,   1.11346,   0.155E+04
   1700,2020-11-13T11:51:10.142+01:00,   0.412E-03,   1.15463,   0.164E+04
   1800,2020-11-13T11:51:58.284+01:00,   0.412E-03,   1.19580,   0.173E+04
