s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1306880E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7926068E-002, 4.9600932E-005, 1.0000000E+000, 1.4164520E+000, 1.0000000E+001, 2.0147056E-009, 8.2956943E-002
 7.9056942E-003, 5.7922531E-002, 4.9596180E-005, 1.0000000E+000, 1.6901219E+000, 1.0000000E+001, 1.9234811E-009, 8.2403876E-002
 1.1858541E-002, 5.7914479E-002, 4.9593225E-005, 1.0000000E+000, 1.9538320E+000, 1.0000000E+001, 1.8806699E-009, 8.2142747E-002
 1.5811388E-002, 5.7903435E-002, 4.9575665E-005, 1.0000000E+000, 2.2432471E+000, 1.0000000E+001, 1.8395037E-009, 8.1893368E-002
 1.9764235E-002, 5.7890554E-002, 4.9569320E-005, 1.0000000E+000, 2.4836820E+000, 1.0000000E+001, 1.8009626E-009, 8.1655890E-002
 2.3717082E-002, 5.7875838E-002, 4.9586766E-005, 1.0000000E+000, 2.7828100E+000, 1.0000000E+001, 1.7654363E-009, 8.1430294E-002
 2.7669930E-002, 5.7859288E-002, 4.9638775E-005, 1.0000000E+000, 3.0718570E+000, 1.0000000E+001, 1.7331936E-009, 8.1216433E-002
 3.1622777E-002, 5.7840903E-002, 4.9734455E-005, 1.0000000E+000, 3.3842090E+000, 1.0000000E+001, 1.7044056E-009, 8.1014063E-002
 3.5575624E-002, 5.7820683E-002, 4.9881252E-005, 1.0000000E+000, 3.6605991E+000, 1.0000000E+001, 1.6791612E-009, 8.0822865E-002
 3.9528471E-002, 5.7798625E-002, 4.9434933E-005, 1.0000000E+000, 4.0147002E+000, 1.0000000E+001, 1.6088079E-009, 8.0467125E-002
 4.3481318E-002, 5.7775885E-002, 4.9713203E-005, 1.0000000E+000, 4.3422750E+000, 1.0000000E+001, 1.5928407E-009, 8.0306389E-002
 4.7434165E-002, 5.7750161E-002, 5.0672696E-005, 1.0000000E+000, 4.6837972E+000, 1.0000000E+001, 1.6244136E-009, 8.0312352E-002
 5.1387012E-002, 5.7719101E-002, 5.1688727E-005, 1.0000000E+000, 4.9945720E+000, 1.0000000E+001, 1.6579850E-009, 8.0319360E-002
 5.5339859E-002, 5.7688417E-002, 5.2780349E-005, 1.0000000E+000, 5.3571671E+000, 1.0000000E+001, 1.6941843E-009, 8.0327445E-002
 5.9292706E-002, 5.7658225E-002, 5.3950421E-005, 1.0000000E+000, 5.7013801E+000, 1.0000000E+001, 1.7331191E-009, 8.0336612E-002
 6.3245553E-002, 5.7626233E-002, 5.5189526E-005, 1.0000000E+000, 6.0562299E+000, 1.0000000E+001, 1.7745004E-009, 8.0346843E-002
 6.7198400E-002, 5.7592439E-002, 5.6498162E-005, 1.0000000E+000, 6.3705848E+000, 1.0000000E+001, 1.8183534E-009, 8.0358088E-002
 7.1151247E-002, 5.7556847E-002, 5.7876622E-005, 1.0000000E+000, 6.7226551E+000, 1.0000000E+001, 1.8646916E-009, 8.0370261E-002
 7.5104094E-002, 5.7519461E-002, 5.9325090E-005, 1.0000000E+000, 7.0648459E+000, 1.0000000E+001, 1.9135198E-009, 8.0383246E-002
 7.9056942E-002, 5.7480286E-002, 6.0843930E-005, 1.0000000E+000, 7.4222801E+000, 1.0000000E+001, 1.9648421E-009, 8.0396894E-002
 8.2493988E-002, 5.7458046E-002, 5.4264681E-005, 1.0000000E+000, 7.9065931E+000, 1.0000000E+001, 2.0174804E-009, 8.0408954E-002
 8.5931034E-002, 5.7417622E-002, 5.5368564E-005, 1.0000000E+000, 8.2330673E+000, 1.0000000E+001, 2.0608072E-009, 8.0421736E-002
 8.9368080E-002, 5.7379740E-002, 5.6662446E-005, 1.0000000E+000, 8.5809467E+000, 1.0000000E+001, 2.1112845E-009, 8.0434369E-002
 9.2383008E-002, 5.7363934E-002, 5.0899474E-005, 1.0000000E+000, 9.0672796E+000, 1.0000000E+001, 2.1640989E-009, 8.0445035E-002
