s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3947177E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3947177E-018, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000, 6.4598910E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4598910E-012, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000, 1.3945204E-011,-8.6753855E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2763776E-009, 1.3858450E-011, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000,-6.1563288E-013,-1.3853954E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1997763E-009,-2.0010282E-012, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000,-1.3546684E-011,-2.5017896E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1478551E-010,-1.6048473E-011, 0.0000000E+000, 0.0000000E+000
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000,-2.3626978E-011,-3.4267468E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2167729E-009,-2.7053725E-011, 0.0000000E+000, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000, 0.0000000E+000,-2.6738645E-011,-5.1831915E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0568259E-009,-3.1921837E-011, 0.0000000E+000, 0.0000000E+000
 8.7500000E-001, 0.0000000E+000, 0.0000000E+000,-2.0696737E-011,-8.3668690E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2682361E-009,-2.9063606E-011, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0323571E-012,-1.2740140E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7147977E-009,-2.1772497E-011, 0.0000000E+000, 0.0000000E+000
 1.1250000E+000, 0.0000000E+000, 0.0000000E+000, 6.0673599E-012,-1.8048053E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5786375E-010,-1.1980693E-011, 0.0000000E+000, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000, 2.0424489E-011,-2.2746678E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3062104E-010,-2.3221894E-012, 0.0000000E+000, 0.0000000E+000
 1.3750000E+000, 0.0000000E+000, 0.0000000E+000, 2.2692324E-011,-2.5758199E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4880206E-009,-3.0658748E-012, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5459972E-011,-2.8656239E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2940727E-009,-1.3196266E-011, 0.0000000E+000, 0.0000000E+000
 1.6250000E+000, 0.0000000E+000, 0.0000000E+000, 8.3975684E-012,-3.0768781E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3644180E-010,-2.2371212E-011, 0.0000000E+000, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000, 0.0000000E+000, 1.3934596E-012,-3.2112665E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8114224E-010,-3.0719206E-011, 0.0000000E+000, 0.0000000E+000
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000,-4.0121364E-012,-3.1807949E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2759728E-010,-3.5820085E-011, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0877137E-011,-3.2293828E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8081628E-009,-4.3170965E-011, 0.0000000E+000, 0.0000000E+000
 2.1250000E+000, 0.0000000E+000, 0.0000000E+000,-1.2435564E-011,-3.3221506E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8631184E-009,-4.5657070E-011, 0.0000000E+000, 0.0000000E+000
 2.2500000E+000, 0.0000000E+000, 0.0000000E+000,-5.3666227E-012,-3.4455072E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4850091E-009,-3.9821695E-011, 0.0000000E+000, 0.0000000E+000
 2.3620529E+000, 0.0000000E+000, 0.0000000E+000, 6.7572815E-012,-3.4505172E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0690014E-009,-2.7747891E-011, 0.0000000E+000, 0.0000000E+000
 2.4741061E+000, 0.0000000E+000, 0.0000000E+000, 1.8997842E-011,-3.4174570E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2305843E-009,-1.5176728E-011, 0.0000000E+000, 0.0000000E+000
 2.5861590E+000, 0.0000000E+000, 0.0000000E+000, 2.6248211E-011,-3.3669042E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3165850E-009,-7.4208309E-012, 0.0000000E+000, 0.0000000E+000
 2.6982121E+000, 0.0000000E+000, 0.0000000E+000, 2.6817861E-011,-3.3091584E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5401565E-010,-6.2737236E-012, 0.0000000E+000, 0.0000000E+000
 2.8102651E+000, 0.0000000E+000, 0.0000000E+000, 1.7330921E-011,-3.1718152E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6233001E-010,-1.4387231E-011, 0.0000000E+000, 0.0000000E+000
 2.9223180E+000, 0.0000000E+000, 0.0000000E+000, 9.3397070E-012,-2.8952016E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1947703E-010,-1.9612309E-011, 0.0000000E+000, 0.0000000E+000
 3.0343711E+000, 0.0000000E+000, 0.0000000E+000, 1.2801918E-011,-2.8284327E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2570187E-010,-1.5482408E-011, 0.0000000E+000, 0.0000000E+000
 3.1464241E+000, 0.0000000E+000, 0.0000000E+000, 2.3225126E-011,-2.9010800E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5843110E-010,-5.7856743E-012, 0.0000000E+000, 0.0000000E+000
 3.2584772E+000, 0.0000000E+000, 0.0000000E+000, 1.7336256E-011,-2.9563771E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2225617E-009,-1.2227515E-011, 0.0000000E+000, 0.0000000E+000
 3.3705301E+000, 0.0000000E+000, 0.0000000E+000, 9.7829678E-012,-3.1071103E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8272194E-009,-2.1288135E-011, 0.0000000E+000, 0.0000000E+000
 3.4825833E+000, 0.0000000E+000, 0.0000000E+000, 1.1702016E-011,-3.1314865E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6841067E-009,-1.9612849E-011, 0.0000000E+000, 0.0000000E+000
 3.5818594E+000, 0.0000000E+000, 0.0000000E+000, 6.5398495E-012,-2.9380609E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8603945E-009,-2.2840759E-011, 0.0000000E+000, 0.0000000E+000
 3.6811357E+000, 0.0000000E+000, 0.0000000E+000, 5.0047273E-012,-2.7893682E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3057354E-009,-2.2888955E-011, 0.0000000E+000, 0.0000000E+000
 3.7804117E+000, 0.0000000E+000, 0.0000000E+000, 4.3410293E-012,-2.7243952E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3583203E-010,-2.2902922E-011, 0.0000000E+000, 0.0000000E+000
 3.8796880E+000, 0.0000000E+000, 0.0000000E+000, 6.3629290E-012,-2.7395937E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6117333E-010,-2.1033008E-011, 0.0000000E+000, 0.0000000E+000
 3.9789643E+000, 0.0000000E+000, 0.0000000E+000, 1.5778144E-011,-2.7658417E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0260606E-010,-1.1880273E-011, 0.0000000E+000, 0.0000000E+000
 4.0782404E+000, 0.0000000E+000, 0.0000000E+000, 3.6031912E-011,-2.7964062E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3322597E-011, 8.0678499E-012, 0.0000000E+000, 0.0000000E+000
 4.1775165E+000, 0.0000000E+000, 0.0000000E+000, 7.5982941E-011,-2.9562617E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2188987E-010, 4.6420324E-011, 0.0000000E+000, 0.0000000E+000
 4.2767930E+000, 0.0000000E+000, 0.0000000E+000, 1.2473716E-010,-3.1366241E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2579503E-009, 9.3370915E-011, 0.0000000E+000, 0.0000000E+000
 4.3760691E+000, 0.0000000E+000, 0.0000000E+000, 1.1419978E-010,-3.2765276E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0441752E-009, 8.1434506E-011, 0.0000000E+000, 0.0000000E+000
 4.4753451E+000, 0.0000000E+000, 0.0000000E+000, 1.5890594E-010,-3.3344851E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6545960E-009, 1.2556109E-010, 0.0000000E+000, 0.0000000E+000
 4.5746217E+000, 0.0000000E+000, 0.0000000E+000, 1.9599860E-010,-3.3537983E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5560329E-010, 1.6246062E-010, 0.0000000E+000, 0.0000000E+000
 4.6738977E+000, 0.0000000E+000, 0.0000000E+000, 1.9426313E-010,-3.3728139E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0448229E-009, 1.6053499E-010, 0.0000000E+000, 0.0000000E+000
 4.7731738E+000, 0.0000000E+000, 0.0000000E+000, 2.1195038E-010,-3.3523923E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0576606E-010, 1.7842646E-010, 0.0000000E+000, 0.0000000E+000
 4.8724499E+000, 0.0000000E+000, 0.0000000E+000, 2.0951727E-010,-3.3693960E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1204582E-009, 1.7582331E-010, 0.0000000E+000, 0.0000000E+000
 4.9717264E+000, 0.0000000E+000, 0.0000000E+000, 2.2055767E-010,-3.2984816E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3095465E-009, 1.8757285E-010, 0.0000000E+000, 0.0000000E+000
 5.0710025E+000, 0.0000000E+000, 0.0000000E+000, 1.8432263E-010,-3.2234646E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2878220E-009, 1.5208798E-010, 0.0000000E+000, 0.0000000E+000
 5.1702785E+000, 0.0000000E+000, 0.0000000E+000, 2.2324675E-010,-3.2292344E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6179203E-010, 1.9095440E-010, 0.0000000E+000, 0.0000000E+000
 5.2695551E+000, 0.0000000E+000, 0.0000000E+000, 1.9955126E-010,-3.2722103E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4804282E-009, 1.6682916E-010, 0.0000000E+000, 0.0000000E+000
 5.3688312E+000, 0.0000000E+000, 0.0000000E+000, 1.9292804E-010,-3.3969551E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9605939E-010, 1.5895849E-010, 0.0000000E+000, 0.0000000E+000
 5.4681072E+000, 0.0000000E+000, 0.0000000E+000, 1.9944914E-010,-3.6457369E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9403965E-010, 1.6299177E-010, 0.0000000E+000, 0.0000000E+000
 5.5673838E+000, 0.0000000E+000, 0.0000000E+000, 1.8451772E-010,-3.7940906E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5924461E-009, 1.4657681E-010, 0.0000000E+000, 0.0000000E+000
