s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3947177E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3947177E-018, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000, 2.0046665E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0046665E-003, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000, 0.0000000E+000,-9.0122477E-002,-3.6915127E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4831312E-010,-9.0122477E-002, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000,-1.2738322E-001,-1.5813555E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5436672E-010,-1.2738322E-001, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000,-1.0719575E-001,-2.8690051E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5658242E-011,-1.0719575E-001, 0.0000000E+000, 0.0000000E+000
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000,-5.1119969E-002,-1.7506739E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5040860E-010,-5.1119969E-002, 0.0000000E+000, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000, 0.0000000E+000, 1.3033237E-002, 2.0219885E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5995465E-010, 1.3033237E-002, 0.0000000E+000, 0.0000000E+000
 8.7500000E-001, 0.0000000E+000, 0.0000000E+000, 6.7634066E-002, 3.2548564E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4016405E-010, 6.7634066E-002, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3677038E-002, 8.6044751E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2386590E-010, 9.3677038E-002, 0.0000000E+000, 0.0000000E+000
 1.1250000E+000, 0.0000000E+000, 0.0000000E+000, 9.0647647E-002, 1.2646376E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2410330E-011, 9.0647647E-002, 0.0000000E+000, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000, 6.7183980E-002, 1.3577994E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3551048E-011, 6.7183980E-002, 0.0000000E+000, 0.0000000E+000
 1.3750000E+000, 0.0000000E+000, 0.0000000E+000, 3.5606315E-002, 1.2283405E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5157427E-011, 3.5606315E-002, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0185058E-002, 1.0592804E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4912879E-011, 2.0185058E-002, 0.0000000E+000, 0.0000000E+000
 1.6250000E+000, 0.0000000E+000, 0.0000000E+000,-2.8638420E-002, 1.0140967E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4924597E-011,-2.8638420E-002, 0.0000000E+000, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000, 0.0000000E+000,-2.6847530E-002, 1.1479733E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2596290E-011,-2.6847530E-002, 0.0000000E+000, 0.0000000E+000
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000,-3.3396261E-002, 1.2480792E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6088750E-011,-3.3396261E-002, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9055206E-002, 1.2661443E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7706847E-011,-2.9055206E-002, 0.0000000E+000, 0.0000000E+000
 2.1250000E+000, 0.0000000E+000, 0.0000000E+000,-2.5062465E-002, 1.1719753E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1909516E-011,-2.5062465E-002, 0.0000000E+000, 0.0000000E+000
 2.2500000E+000, 0.0000000E+000, 0.0000000E+000,-5.7369544E-003, 1.0522732E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0291419E-011,-5.7369544E-003, 0.0000000E+000, 0.0000000E+000
 2.3750000E+000, 0.0000000E+000, 0.0000000E+000,-1.6184307E-002, 1.0142740E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3539330E-011,-1.6184307E-002, 0.0000000E+000, 0.0000000E+000
 2.4851732E+000, 0.0000000E+000, 0.0000000E+000, 4.4800934E-003, 9.3132446E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6454688E-011, 4.4800934E-003, 0.0000000E+000, 0.0000000E+000
 2.5953465E+000, 0.0000000E+000, 0.0000000E+000, 5.5873700E-003, 9.0409728E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1171400E-011, 5.5873700E-003, 0.0000000E+000, 0.0000000E+000
 2.7055194E+000, 0.0000000E+000, 0.0000000E+000, 9.5949802E-003, 8.9295287E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5133866E-011, 9.5949802E-003, 0.0000000E+000, 0.0000000E+000
 2.8156927E+000, 0.0000000E+000, 0.0000000E+000, 1.0715261E-002, 9.1459133E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8832168E-011, 1.0715261E-002, 0.0000000E+000, 0.0000000E+000
 2.9258659E+000, 0.0000000E+000, 0.0000000E+000, 2.6275361E-002, 8.8734687E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3813044E-011, 2.6275361E-002, 0.0000000E+000, 0.0000000E+000
 3.0360391E+000, 0.0000000E+000, 0.0000000E+000, 2.9041166E-002, 8.2995876E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3246468E-011, 2.9041166E-002, 0.0000000E+000, 0.0000000E+000
 3.1462121E+000, 0.0000000E+000, 0.0000000E+000, 2.7088389E-002, 7.0346257E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2189810E-011, 2.7088389E-002, 0.0000000E+000, 0.0000000E+000
 3.2563853E+000, 0.0000000E+000, 0.0000000E+000, 2.1990746E-002, 5.7388156E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8265592E-011, 2.1990746E-002, 0.0000000E+000, 0.0000000E+000
 3.3550649E+000, 0.0000000E+000, 0.0000000E+000, 2.5152091E-002, 4.6650183E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3004764E-011, 2.5152091E-002, 0.0000000E+000, 0.0000000E+000
 3.4537444E+000, 0.0000000E+000, 0.0000000E+000, 2.1091734E-002, 3.6132544E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8285838E-011, 2.1091734E-002, 0.0000000E+000, 0.0000000E+000
 3.5524240E+000, 0.0000000E+000, 0.0000000E+000, 1.4956388E-002, 2.4609233E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8580771E-011, 1.4956388E-002, 0.0000000E+000, 0.0000000E+000
 3.6511035E+000, 0.0000000E+000, 0.0000000E+000, 1.3209664E-002, 1.4587413E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0940233E-011, 1.3209664E-002, 0.0000000E+000, 0.0000000E+000
 3.7497828E+000, 0.0000000E+000, 0.0000000E+000, 1.1634702E-002, 4.7467903E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3271979E-011, 1.1634702E-002, 0.0000000E+000, 0.0000000E+000
 3.8484623E+000, 0.0000000E+000, 0.0000000E+000, 9.9097041E-003,-4.9013335E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1530099E-011, 9.9097041E-003, 0.0000000E+000, 0.0000000E+000
 3.9471419E+000, 0.0000000E+000, 0.0000000E+000, 6.7756791E-003,-1.3376123E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2119965E-011, 6.7756791E-003, 0.0000000E+000, 0.0000000E+000
 4.0458217E+000, 0.0000000E+000, 0.0000000E+000, 4.6551297E-003,-2.2217172E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3566912E-011, 4.6551297E-003, 0.0000000E+000, 0.0000000E+000
 4.1445007E+000, 0.0000000E+000, 0.0000000E+000, 3.5241350E-003,-3.2776913E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7695972E-011, 3.5241350E-003, 0.0000000E+000, 0.0000000E+000
 4.2431803E+000, 0.0000000E+000, 0.0000000E+000, 1.2710202E-003,-4.0599820E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8875703E-011, 1.2710202E-003, 0.0000000E+000, 0.0000000E+000
 4.3418598E+000, 0.0000000E+000, 0.0000000E+000,-3.1031189E-003,-4.8509476E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6516240E-011,-3.1031189E-003, 0.0000000E+000, 0.0000000E+000
 4.4405394E+000, 0.0000000E+000, 0.0000000E+000,-6.5626196E-003,-5.5488923E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6221308E-011,-6.5626196E-003, 0.0000000E+000, 0.0000000E+000
 4.5392189E+000, 0.0000000E+000, 0.0000000E+000,-8.1950338E-003,-6.1108472E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7990905E-011,-8.1950338E-003, 0.0000000E+000, 0.0000000E+000
 4.6378984E+000, 0.0000000E+000, 0.0000000E+000,-7.5405313E-003,-6.7739225E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7990905E-011,-7.5405313E-003, 0.0000000E+000, 0.0000000E+000
 4.7365780E+000, 0.0000000E+000, 0.0000000E+000,-6.0951424E-003,-7.5089305E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0055435E-011,-6.0951424E-003, 0.0000000E+000, 0.0000000E+000
 4.8352575E+000, 0.0000000E+000, 0.0000000E+000,-5.1441129E-003,-8.4966725E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9760502E-011,-5.1441129E-003, 0.0000000E+000, 0.0000000E+000
 4.9339371E+000, 0.0000000E+000, 0.0000000E+000,-5.5335356E-003,-9.3000710E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8285838E-011,-5.5335356E-003, 0.0000000E+000, 0.0000000E+000
 5.0326166E+000, 0.0000000E+000, 0.0000000E+000,-8.4211523E-003,-1.0086276E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7695972E-011,-8.4211523E-003, 0.0000000E+000, 0.0000000E+000
 5.1312962E+000, 0.0000000E+000, 0.0000000E+000,-1.3211562E-002,-1.0874669E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5631442E-011,-1.3211562E-002, 0.0000000E+000, 0.0000000E+000
 5.2299757E+000, 0.0000000E+000, 0.0000000E+000,-1.6225672E-002,-1.1849938E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0055435E-011,-1.6225672E-002, 0.0000000E+000, 0.0000000E+000
 5.3286552E+000, 0.0000000E+000, 0.0000000E+000,-1.7717798E-002,-1.2829036E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4774361E-011,-1.7717798E-002, 0.0000000E+000, 0.0000000E+000
 5.4273348E+000, 0.0000000E+000, 0.0000000E+000,-1.9829567E-002,-1.3590505E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7401039E-011,-1.9829567E-002, 0.0000000E+000, 0.0000000E+000
 5.5260139E+000, 0.0000000E+000, 0.0000000E+000,-2.2372482E-002,-1.4226632E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7990905E-011,-2.2372482E-002, 0.0000000E+000, 0.0000000E+000
