s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
Time,"Pres 1","Pres 2","Pres 3","Temp 1","Temp 2","Temp 3","Dens 1","Dens 2","Dens 3"
 0.0000000E+000,-5.5938402E-006,-4.3567183E-006,-4.3097434E-006, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.1952532E+000, 1.1952532E+000, 1.1952532E+000
 6.3245553E-001, 6.2283803E+001, 6.2274148E+001, 6.2271028E+001, 2.0051244E+001, 2.0051244E+001, 2.0051244E+001, 1.1957787E+000, 1.1957787E+000, 1.1957787E+000
 1.2649111E+000, 3.9137141E+002, 3.9136131E+002, 3.9135528E+002, 2.0321554E+001, 2.0321550E+001, 2.0321554E+001, 1.1985547E+000, 1.1985547E+000, 1.1985547E+000
 1.8183097E+000, 8.5193386E+002, 8.5193132E+002, 8.5192894E+002, 2.0698629E+001, 2.0698609E+001, 2.0698632E+001, 1.2024368E+000, 1.2024369E+000, 1.2024368E+000
 2.4507652E+000, 1.3198695E+003, 1.3198730E+003, 1.3198760E+003, 2.1080171E+001, 2.1080123E+001, 2.1080183E+001, 1.2063771E+000, 1.2063773E+000, 1.2063771E+000
 3.0041638E+000, 1.7878439E+003, 1.7878466E+003, 1.7878486E+003, 2.1460294E+001, 2.1460214E+001, 2.1460323E+001, 1.2103137E+000, 1.2103140E+000, 1.2103135E+000
 3.6366193E+000, 2.2560051E+003, 2.2560029E+003, 2.2560006E+003, 2.1839121E+001, 2.1839009E+001, 2.1839175E+001, 1.2142473E+000, 1.2142478E+000, 1.2142471E+000
 4.2690748E+000, 2.7556995E+003, 2.7556973E+003, 2.7556950E+003, 2.2241997E+001, 2.2241850E+001, 2.2242083E+001, 1.2184410E+000, 1.2184416E+000, 1.2184407E+000
 4.8224734E+000, 3.2245441E+003, 3.2245458E+003, 3.2245469E+003, 2.2618654E+001, 2.2618475E+001, 2.2618775E+001, 1.2223712E+000, 1.2223719E+000, 1.2223707E+000
 5.4549290E+000, 3.6938389E+003, 3.6938412E+003, 3.6938428E+003, 2.2994359E+001, 2.2994147E+001, 2.2994516E+001, 1.2263002E+000, 1.2263011E+000, 1.2262996E+000
 6.0083276E+000, 4.1636052E+003, 4.1636048E+003, 4.1636039E+003, 2.3369209E+001, 2.3368965E+001, 2.3369404E+001, 1.2302286E+000, 1.2302296E+000, 1.2302278E+000
 6.6407831E+000, 4.6338831E+003, 4.6338819E+003, 4.6338801E+003, 2.3743189E+001, 2.3742914E+001, 2.3743424E+001, 1.2341564E+000, 1.2341575E+000, 1.2341554E+000
 7.2732386E+000, 5.1360848E+003, 5.1360858E+003, 5.1360860E+003, 2.4141223E+001, 2.4140916E+001, 2.4141502E+001, 1.2383456E+000, 1.2383469E+000, 1.2383445E+000
 7.8266372E+000, 5.6074503E+003, 5.6074526E+003, 5.6074537E+003, 2.4513568E+001, 2.4513233E+001, 2.4513891E+001, 1.2422728E+000, 1.2422742E+000, 1.2422714E+000
 8.4590927E+000, 6.0793771E+003, 6.0793783E+003, 6.0793781E+003, 2.4885116E+001, 2.4884755E+001, 2.4885485E+001, 1.2461997E+000, 1.2462012E+000, 1.2461981E+000
 9.0124913E+000, 6.5518492E+003, 6.5518497E+003, 6.5518485E+003, 2.5255927E+001, 2.5255541E+001, 2.5256343E+001, 1.2501264E+000, 1.2501280E+000, 1.2501247E+000
