s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.5853986E-019, 0.0000000E+000,-5.8115238E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6435139E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3245553E-001, 0.0000000E+000,-6.9330447E-007,-7.1736845E-005,-6.6156148E-007, 0.0000000E+000, 1.6765249E-003, 0.0000000E+000, 1.4031883E-003, 1.6034332E-003, 0.0000000E+000, 1.4152000E-005, 1.5463298E+002
 1.2649111E+000, 0.0000000E+000,-4.2155263E-006,-1.8364464E-004,-3.9686397E-006, 0.0000000E+000, 4.3336984E-003, 0.0000000E+000, 4.0389257E-003, 4.1418696E-003, 0.0000000E+000, 3.6592000E-005, 6.0004422E+002
 1.8183097E+000, 0.0000000E+000,-8.4209273E-006,-1.9689859E-004,-8.4851194E-006, 0.0000000E+000, 4.7356416E-003, 0.0000000E+000, 4.5222145E-003, 4.5218370E-003, 0.0000000E+000, 4.0000000E-005, 1.0368341E+003
 2.4507651E+000, 0.0000000E+000,-1.1581011E-005,-1.9084570E-004,-1.2513560E-005, 0.0000000E+000, 4.7351545E-003, 0.0000000E+000, 4.5203685E-003, 4.5202143E-003, 0.0000000E+000, 4.0000000E-005, 1.5359608E+003
 3.0041637E+000, 0.0000000E+000,-1.3871426E-005,-1.8261178E-004,-1.5616347E-005, 0.0000000E+000, 4.7361706E-003, 0.0000000E+000, 4.5237400E-003, 4.5240710E-003, 0.0000000E+000, 4.0000000E-005, 1.9727851E+003
 3.6366193E+000, 0.0000000E+000,-1.5583774E-005,-1.7232744E-004,-1.7764242E-005, 0.0000000E+000, 4.7387164E-003, 0.0000000E+000, 4.5323636E-003, 4.5330409E-003, 0.0000000E+000, 4.0000000E-005, 2.4722690E+003
 4.2690749E+000, 0.0000000E+000,-1.6882940E-005,-1.5997508E-004,-1.9412424E-005, 0.0000000E+000, 4.7424268E-003, 0.0000000E+000, 4.5453422E-003, 4.5461564E-003, 0.0000000E+000, 4.0000000E-005, 2.9721382E+003
 4.8224735E+000, 0.0000000E+000,-1.7820307E-005,-1.4733482E-004,-2.0416075E-005, 0.0000000E+000, 4.7466357E-003, 0.0000000E+000, 4.5597980E-003, 4.5610645E-003, 0.0000000E+000, 4.0000000E-005, 3.4099032E+003
 5.4549289E+000, 0.0000000E+000,-1.8434388E-005,-1.3425346E-004,-2.1218398E-005, 0.0000000E+000, 4.7512451E-003, 0.0000000E+000, 4.5762412E-003, 4.5773389E-003, 0.0000000E+000, 4.0000000E-005, 3.9106943E+003
 6.0083275E+000, 0.0000000E+000,-1.8889512E-005,-1.2073974E-004,-2.1799623E-005, 0.0000000E+000, 4.7561305E-003, 0.0000000E+000, 4.5936066E-003, 4.5947016E-003, 0.0000000E+000, 4.0000000E-005, 4.3493409E+003
 6.6407833E+000, 0.0000000E+000,-1.9330582E-005,-1.0667307E-004,-2.2069696E-005, 0.0000000E+000, 4.7614258E-003, 0.0000000E+000, 4.6119920E-003, 4.6133525E-003, 0.0000000E+000, 4.0000000E-005, 4.8512018E+003
 7.2732387E+000, 0.0000000E+000,-1.9663120E-005,-9.1544405E-005,-2.2315204E-005, 0.0000000E+000, 4.7672108E-003, 0.0000000E+000, 4.6324739E-003, 4.6336880E-003, 0.0000000E+000, 4.0000000E-005, 5.3536714E+003
 7.8266373E+000, 0.0000000E+000,-1.9969999E-005,-7.7083279E-005,-2.2390804E-005, 0.0000000E+000, 4.7727538E-003, 0.0000000E+000, 4.6517613E-003, 4.6533097E-003, 0.0000000E+000, 4.0000000E-005, 5.7938383E+003
 8.4590931E+000, 0.0000000E+000,-2.0132208E-005,-6.2747986E-005,-2.2560720E-005, 0.0000000E+000, 4.7782881E-003, 0.0000000E+000, 4.6714747E-003, 4.6728471E-003, 0.0000000E+000, 4.0000000E-005, 6.2974744E+003
 9.0124912E+000, 0.0000000E+000,-2.0266178E-005,-4.8349810E-005,-2.2692927E-005, 0.0000000E+000, 4.7838586E-003, 0.0000000E+000, 4.6913789E-003, 4.6925497E-003, 0.0000000E+000, 4.0000000E-005, 6.7386752E+003
 9.6449471E+000, 0.0000000E+000,-2.0485307E-005,-3.3671213E-005,-2.2643134E-005, 0.0000000E+000, 4.7895903E-003, 0.0000000E+000, 4.7113051E-003, 4.7127906E-003, 0.0000000E+000, 4.0000000E-005, 7.2435022E+003
 1.0277402E+001, 0.0000000E+000,-2.0648124E-005,-1.8123007E-005,-2.2641161E-005, 0.0000000E+000, 4.7957051E-003, 0.0000000E+000, 4.7329682E-003, 4.7342928E-003, 0.0000000E+000, 4.0000000E-005, 7.7489736E+003
