s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 2.1064839E+001, 1.2505249E-001, 2.0029497E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3192842E+001, 0.0000000E+000, 0.0000000E+000
 1.0062306E+000, 2.3126127E+000, 3.6828383E+001, 7.0400824E-001, 2.1794230E+000,-5.3645557E-004, 0.0000000E+000, 0.0000000E+000, 3.7255625E+001, 4.2023890E+001, 1.2751097E-004, 1.2751097E-004
 2.0124612E+000, 7.7477356E+000, 3.4294801E+001, 7.4620754E-001, 2.2329394E+000,-1.3295769E-003, 0.0000000E+000, 0.0000000E+000, 4.4976243E+001, 4.5020354E+001, 3.4002926E-004, 3.4002926E-004
 3.0186918E+000, 1.3901428E+001, 2.9071230E+001, 7.2597843E-001, 1.8362927E+000,-2.3559769E-003, 0.0000000E+000, 0.0000000E+000, 4.5348128E+001, 4.5532573E+001, 5.9505121E-004, 5.9505121E-004
 4.0249224E+000, 1.9989541E+001, 2.8345717E+001, 7.4435619E-001, 1.8104671E+000,-3.5268694E-003, 0.0000000E+000, 0.0000000E+000, 4.9543001E+001, 5.0886554E+001, 8.2882133E-004, 8.2882133E-004
 5.0311527E+000, 2.5786232E+001, 3.0417112E+001, 7.3020453E-001, 1.7963350E+000,-4.6870028E-003, 0.0000000E+000, 0.0000000E+000, 5.8291798E+001, 5.8725197E+001, 1.0413396E-003, 1.0413396E-003
 6.0373836E+000, 3.1832032E+001, 2.7895138E+001, 5.5196820E-001, 1.7142307E+000,-5.8665196E-003, 0.0000000E+000, 0.0000000E+000, 6.1763386E+001, 6.1987503E+001, 1.2751097E-003, 1.2751097E-003
 7.0436139E+000, 3.7378193E+001, 2.3250566E+001, 2.7668945E-001, 1.4968289E+000,-6.8588096E-003, 0.0000000E+000, 0.0000000E+000, 6.2590998E+001, 6.2395418E+001, 1.4876280E-003, 1.4876280E-003
 8.0498447E+000, 4.3532356E+001, 1.6181405E+001,-2.5638457E-002, 1.3575687E+000,-8.0283529E-003, 0.0000000E+000, 0.0000000E+000, 6.0949336E+001, 6.1037663E+001, 1.7426500E-003, 1.7426500E-003
 9.0560751E+000, 4.9620503E+001, 1.4077092E+001,-2.3095101E-001, 1.0430227E+000,-9.1028060E-003, 0.0000000E+000, 0.0000000E+000, 6.3434080E+001, 6.4500563E+001, 1.9764201E-003, 1.9764201E-003
 1.0062305E+001, 5.5417244E+001, 1.5997239E+001,-3.7744090E-001, 6.1809454E-001,-1.0071448E-002, 0.0000000E+000, 0.0000000E+000, 7.1079022E+001, 7.1645065E+001, 2.1889384E-003, 2.1889384E-003
 1.1068537E+001, 6.1463271E+001, 1.3707292E+001,-6.2583245E-001, 1.0251886E-001,-1.1138614E-002, 0.0000000E+000, 0.0000000E+000, 7.4348627E+001, 7.4636111E+001, 2.4227085E-003, 2.4227085E-003
 1.2074767E+001, 6.7008751E+001, 9.9473172E+000,-2.0037811E+000,-5.1398337E-001,-1.2107526E-002, 0.0000000E+000, 0.0000000E+000, 7.4651063E+001, 7.4426196E+001, 2.6352268E-003, 2.6352268E-003
 1.3080997E+001, 7.3163549E+001, 3.0577107E+000,-4.4794849E+000,-1.4231829E+000,-1.3259945E-002, 0.0000000E+000, 0.0000000E+000, 7.0155615E+001, 7.0305332E+001, 2.8902487E-003, 2.8902487E-003
 1.4087228E+001, 7.9253579E+001, 3.4448936E+000,-4.7432470E+000,-2.1207068E+000,-1.4319259E-002, 0.0000000E+000, 0.0000000E+000, 7.4390335E+001, 7.5820200E+001, 3.1240189E-003, 3.1240189E-003
 1.5093459E+001, 8.5048236E+001, 6.7220711E+000,-4.6682628E+000,-2.4703419E+000,-1.5296386E-002, 0.0000000E+000, 0.0000000E+000, 8.3939184E+001, 8.4616406E+001, 3.3365371E-003, 3.3365371E-003
 1.6099689E+001, 9.1095055E+001, 4.6944206E+000,-6.1989489E+000,-3.0711305E+000,-1.6359867E-002, 0.0000000E+000, 0.0000000E+000, 8.6351603E+001, 8.6503036E+001, 3.5703073E-003, 3.5703073E-003
 1.7105921E+001, 9.6656300E+001,-8.7515602E-001,-8.9398091E+000,-3.9697388E+000,-1.7331715E-002, 0.0000000E+000, 0.0000000E+000, 8.3208607E+001, 8.2854264E+001, 3.7828256E-003, 3.7828256E-003
 1.8000347E+001, 1.0195716E+002,-7.2153879E+000,-1.1590731E+001,-4.8400169E+000,-1.8260928E-002, 0.0000000E+000, 0.0000000E+000, 7.8124426E+001, 7.8292765E+001, 3.9926874E-003, 3.9926874E-003
 1.9006578E+001, 1.0774993E+002,-5.0736136E+000,-1.3444454E+001,-5.1910565E+000,-1.9327231E-002, 0.0000000E+000, 0.0000000E+000, 8.2704904E+001, 8.4021483E+001, 4.2291140E-003, 4.2291140E-003
 2.0012808E+001, 1.1378733E+002,-2.5141700E+000,-1.4952000E+001,-5.7798748E+000,-2.0371887E-002, 0.0000000E+000, 0.0000000E+000, 8.9615755E+001, 9.0520917E+001, 4.4628841E-003, 4.4628841E-003
 2.1019039E+001, 1.1948991E+002,-5.0296955E+000,-1.7437867E+001,-6.8565806E+000,-2.1336306E-002, 0.0000000E+000, 0.0000000E+000, 8.9822090E+001, 9.0144435E+001, 4.6754024E-003, 4.6754024E-003
 2.2025270E+001, 1.2584204E+002,-9.2046902E+000,-1.9801112E+001,-7.6459864E+000,-2.2427718E-002, 0.0000000E+000, 0.0000000E+000, 8.9077845E+001, 8.9167827E+001, 4.9091725E-003, 4.9091725E-003
 2.3031500E+001, 1.3125832E+002,-1.4075070E+001,-2.0404148E+001,-8.3905790E+000,-2.3393382E-002, 0.0000000E+000, 0.0000000E+000, 8.8110467E+001, 8.8365126E+001, 5.1216908E-003, 5.1216908E-003
 2.4037731E+001, 1.3739315E+002,-1.3575539E+001,-2.1678089E+001,-9.2156734E+000,-2.4566297E-002, 0.0000000E+000, 0.0000000E+000, 9.1973762E+001, 9.2899283E+001, 5.3767127E-003, 5.3767127E-003
 2.5019627E+001, 1.4398022E+002,-1.1922611E+001,-2.3866893E+001,-1.0018688E+001,-2.5610941E-002, 0.0000000E+000, 0.0000000E+000, 9.7144984E+001, 9.8146417E+001, 5.6073228E-003, 5.6073228E-003
 2.6085735E+001, 1.4863641E+002,-1.4157357E+001,-2.6091983E+001,-1.0625706E+001,-2.6624141E-002, 0.0000000E+000, 0.0000000E+000, 9.7847077E+001, 9.7734741E+001, 5.8363084E-003, 5.8363084E-003
 2.7072136E+001, 1.5475688E+002,-2.0598278E+001,-2.8288819E+001,-1.1582527E+001,-2.7562841E-002, 0.0000000E+000, 0.0000000E+000, 9.4463768E+001, 9.4259691E+001, 6.0567712E-003, 6.0567712E-003
 2.8058537E+001, 1.6061985E+002,-2.4219966E+001,-3.0410522E+001,-1.2750598E+001,-2.8561905E-002, 0.0000000E+000, 0.0000000E+000, 9.2662326E+001, 9.3210201E+001, 6.2692895E-003, 6.2692895E-003
 2.9057215E+001, 1.6941273E+002,-2.2677096E+001,-3.6618229E+001,-1.3407102E+001,-2.9683048E-002, 0.0000000E+000, 0.0000000E+000, 9.8202321E+001, 9.6680625E+001, 6.5219348E-003, 6.5219348E-003
 3.0042763E+001, 1.7300392E+002,-2.0409835E+001,-4.3718488E+001,-1.4062761E+001,-3.0732598E-002, 0.0000000E+000, 0.0000000E+000, 9.4884143E+001, 9.4782106E+001, 6.7517061E-003, 6.7517061E-003
 3.1028311E+001, 1.7857124E+002,-2.5040370E+001,-4.7339143E+001,-1.5091907E+001,-3.1713952E-002, 0.0000000E+000, 0.0000000E+000, 9.1449112E+001, 9.1068102E+001, 6.9620992E-003, 6.9620992E-003
 3.2013859E+001, 1.8452332E+002,-3.1541510E+001,-5.1669739E+001,-1.6356975E+001,-3.2716123E-002, 0.0000000E+000, 0.0000000E+000, 8.4565297E+001, 8.4922382E+001, 7.1916189E-003, 7.1916189E-003
 3.3097961E+001, 1.8948996E+002,-3.0262940E+001,-5.5321433E+001,-1.6933540E+001,-3.3697421E-002, 0.0000000E+000, 0.0000000E+000, 8.6013561E+001, 8.6938352E+001, 7.4072284E-003, 7.4072284E-003
 3.4083511E+001, 1.9633574E+002,-2.7727884E+001,-6.0073429E+001,-1.7705219E+001,-3.4844119E-002, 0.0000000E+000, 0.0000000E+000, 9.0130722E+001, 9.0794365E+001, 7.6697851E-003, 7.6697851E-003
 3.5069057E+001, 1.9960683E+002,-3.0436056E+001,-6.5873038E+001,-1.8765473E+001,-3.5852352E-002, 0.0000000E+000, 0.0000000E+000, 8.4618845E+001, 8.4496414E+001, 7.8993048E-003, 7.8993048E-003
 3.6054607E+001, 2.0589090E+002,-3.6879697E+001,-7.2785455E+001,-1.9699968E+001,-3.6784778E-002, 0.0000000E+000, 0.0000000E+000, 7.7134159E+001, 7.6489000E+001, 8.1096979E-003, 8.1096979E-003
 3.7017986E+001, 2.2058059E+002,-4.1717234E+001,-8.1636795E+001,-2.0780770E+001,-3.7781494E-002, 0.0000000E+000, 0.0000000E+000, 7.9690227E+001, 7.6408005E+001, 8.3374572E-003, 8.3374572E-003
 3.8067631E+001, 2.1947401E+002,-3.6051074E+001,-8.8008298E+001,-2.1871010E+001,-3.8664726E-002, 0.0000000E+000, 0.0000000E+000, 7.7534445E+001, 7.3504967E+001, 8.5432352E-003, 8.5432352E-003
 3.9047298E+001, 2.2516985E+002,-3.9235283E+001,-9.4125267E+001,-2.2749371E+001,-3.9802173E-002, 0.0000000E+000, 0.0000000E+000, 6.9305380E+001, 6.9020127E+001, 8.7811798E-003, 8.7811798E-003
 4.0009476E+001, 2.3069510E+002,-4.4852266E+001,-1.0092727E+002,-2.3370237E+001,-4.0912493E-002, 0.0000000E+000, 0.0000000E+000, 6.1116735E+001, 6.1504420E+001, 9.0277769E-003, 9.0277769E-003
 4.1042187E+001, 2.3932006E+002,-4.6272452E+001,-1.0235798E+002,-2.4254241E+001,-4.1794622E-002, 0.0000000E+000, 0.0000000E+000, 6.7156373E+001, 6.6393588E+001, 9.2383809E-003, 9.2383809E-003
 4.2020470E+001, 2.3859195E+002,-4.1682652E+001,-1.0762588E+002,-2.4530050E+001,-4.2860702E-002, 0.0000000E+000, 0.0000000E+000, 6.4297443E+001, 6.4710504E+001, 9.4657661E-003, 9.4657661E-003
 4.3015408E+001, 2.4771164E+002,-4.6962545E+001,-1.1456788E+002,-2.5322449E+001,-4.3836983E-002, 0.0000000E+000, 0.0000000E+000, 6.1379577E+001, 6.0814919E+001, 9.6891992E-003, 9.6891992E-003
 4.4044361E+001, 2.5719935E+002,-5.5019574E+001,-1.2405387E+002,-2.6341458E+001,-4.4749197E-002, 0.0000000E+000, 0.0000000E+000, 5.1633899E+001, 5.1739698E+001, 9.9110802E-003, 9.9110802E-003
 4.5073315E+001, 2.5931376E+002,-5.0489912E+001,-1.2674587E+002,-2.6832192E+001,-4.5899869E-002, 0.0000000E+000, 0.0000000E+000, 5.4355526E+001, 5.5199891E+001, 1.0171898E-002, 1.0171898E-002
