s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 2.1064839E+001, 1.2505249E-001, 2.0029497E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3192842E+001, 0.0000000E+000, 0.0000000E+000
 1.0062306E+000, 1.9949083E+000, 3.6828612E+001, 6.0266040E-001, 2.1801728E+000,-5.3620600E-004, 0.0000000E+000, 0.0000000E+000, 3.6905096E+001, 4.1605817E+001, 1.2751097E-004, 1.2751097E-004
 2.0124612E+000, 1.2246946E+001, 3.4293352E+001, 9.0083385E-001, 2.2246520E+000,-1.3313463E-003, 0.0000000E+000, 0.0000000E+000, 4.6548820E+001, 4.9664453E+001, 3.4002926E-004, 3.4002926E-004
 3.0186918E+000, 4.0251041E+001, 2.0626947E+001, 1.0578325E+000, 1.4926380E+000,-2.4822181E-003, 0.0000000E+000, 0.0000000E+000, 6.6293985E+001, 6.3425976E+001, 5.9505121E-004, 5.9505121E-004
 4.0249224E+000, 2.6696778E+001, 2.4635329E+001, 8.3836905E-001, 1.2965167E+000,-3.8051349E-003, 0.0000000E+000, 0.0000000E+000, 5.1756154E+001, 5.3463187E+001, 8.2882133E-004, 8.2882133E-004
 5.0311527E+000, 2.5950796E+001, 3.0254171E+001, 6.2632214E-001, 1.4892959E+000,-4.8142825E-003, 0.0000000E+000, 0.0000000E+000, 5.7835446E+001, 5.8315770E+001, 1.0413396E-003, 1.0413396E-003
 6.0373836E+000, 3.1996942E+001, 2.7452749E+001, 5.0453501E-001, 1.2959540E+000,-5.8870969E-003, 0.0000000E+000, 0.0000000E+000, 6.1099252E+001, 6.1244292E+001, 1.2751097E-003, 1.2751097E-003
 7.0436139E+000, 3.6999974E+001, 2.2768174E+001, 3.3822169E-001, 1.2964925E+000,-6.8599876E-003, 0.0000000E+000, 0.0000000E+000, 6.1475801E+001, 6.1396002E+001, 1.4876280E-003, 1.4876280E-003
 8.0498447E+000, 4.3627902E+001, 1.5361882E+001,-3.7414077E-002, 1.1755730E+000,-8.0238261E-003, 0.0000000E+000, 0.0000000E+000, 5.9944115E+001, 6.0119919E+001, 1.7426500E-003, 1.7426500E-003
 9.0560751E+000, 5.1250590E+001, 1.3332389E+001,-3.5549667E-001, 6.3700045E-001,-9.0829225E-003, 0.0000000E+000, 0.0000000E+000, 6.3858093E+001, 6.4855400E+001, 1.9764201E-003, 1.9764201E-003
 1.0062305E+001, 5.5601323E+001, 1.5747505E+001,-4.3152806E-001, 3.5810161E-002,-1.0062793E-002, 0.0000000E+000, 0.0000000E+000, 7.0379037E+001, 7.0943047E+001, 2.1889384E-003, 2.1889384E-003
 1.1068537E+001, 6.1239174E+001, 1.3790711E+001,-9.7597601E-001,-2.9283046E-001,-1.1141346E-002, 0.0000000E+000, 0.0000000E+000, 7.3257850E+001, 7.3749937E+001, 2.4227085E-003, 2.4227085E-003
 1.2074767E+001, 6.7272652E+001, 1.0142588E+001,-2.6805849E+000,-7.4181369E-001,-1.2113992E-002, 0.0000000E+000, 0.0000000E+000, 7.4120223E+001, 7.3980727E+001, 2.6352268E-003, 2.6352268E-003
 1.3080997E+001, 7.3385896E+001, 3.2723093E+000,-3.8925734E+000,-1.6418445E+000,-1.3274663E-002, 0.0000000E+000, 0.0000000E+000, 7.1017246E+001, 7.1110513E+001, 2.8902487E-003, 2.8902487E-003
 1.4087228E+001, 7.9336337E+001, 3.6218126E+000,-4.7162962E+000,-2.3597716E+000,-1.4338687E-002, 0.0000000E+000, 0.0000000E+000, 7.4569290E+001, 7.5867743E+001, 3.1240189E-003, 3.1240189E-003
 1.5093459E+001, 8.5587379E+001, 6.4475647E+000,-6.5262622E+000,-2.6441259E+000,-1.5280980E-002, 0.0000000E+000, 0.0000000E+000, 8.2293799E+001, 8.2849275E+001, 3.3365371E-003, 3.3365371E-003
 1.6099689E+001, 9.1486986E+001, 3.8307517E+000,-8.7774503E+000,-3.1109017E+000,-1.6347464E-002, 0.0000000E+000, 0.0000000E+000, 8.3249025E+001, 8.3413038E+001, 3.5703073E-003, 3.5703073E-003
 1.7105921E+001, 9.6917557E+001,-1.4395247E+000,-1.0681793E+001,-3.9944633E+000,-1.7308172E-002, 0.0000000E+000, 0.0000000E+000, 8.1020178E+001, 8.0784468E+001, 3.7828256E-003, 3.7828256E-003
 1.8000347E+001, 1.0219124E+002,-6.9511656E+000,-1.2321869E+001,-4.9162579E+000,-1.8279627E-002, 0.0000000E+000, 0.0000000E+000, 7.7569301E+001, 7.7983664E+001, 3.9926874E-003, 3.9926874E-003
 1.9006578E+001, 1.0801608E+002,-4.0175090E+000,-1.4048795E+001,-5.3172925E+000,-1.9360568E-002, 0.0000000E+000, 0.0000000E+000, 8.3201780E+001, 8.4613118E+001, 4.2291140E-003, 4.2291140E-003
 2.0012808E+001, 1.1365512E+002,-1.8876594E+000,-1.5540193E+001,-5.8372761E+000,-2.0402973E-002, 0.0000000E+000, 0.0000000E+000, 8.9487849E+001, 9.0369589E+001, 4.4628841E-003, 4.4628841E-003
 2.1019039E+001, 1.1960266E+002,-5.1147547E+000,-1.6781916E+001,-6.7314858E+000,-2.1386636E-002, 0.0000000E+000, 0.0000000E+000, 9.0514407E+001, 9.0953113E+001, 4.6754024E-003, 4.6754024E-003
 2.2025270E+001, 1.2613841E+002,-1.0589172E+001,-1.9026654E+001,-7.5900868E+000,-2.2417068E-002, 0.0000000E+000, 0.0000000E+000, 8.8822047E+001, 8.8910082E+001, 4.9091725E-003, 4.9091725E-003
 2.3031500E+001, 1.3188464E+002,-1.5729624E+001,-2.0970651E+001,-8.5184521E+000,-2.3378537E-002, 0.0000000E+000, 0.0000000E+000, 8.6294047E+001, 8.6642532E+001, 5.1216908E-003, 5.1216908E-003
 2.4037731E+001, 1.3787122E+002,-1.3488086E+001,-2.1436205E+001,-9.3458269E+000,-2.4528457E-002, 0.0000000E+000, 0.0000000E+000, 9.2420507E+001, 9.3576569E+001, 5.3767127E-003, 5.3767127E-003
 2.5043961E+001, 1.4432604E+002,-1.2591767E+001,-2.3095381E+001,-1.0067228E+001,-2.5594221E-002, 0.0000000E+000, 0.0000000E+000, 9.7609147E+001, 9.8546073E+001, 5.6104828E-003, 5.6104828E-003
 2.6050192E+001, 1.5044937E+002,-1.5053279E+001,-2.6933564E+001,-1.0819246E+001,-2.6516738E-002, 0.0000000E+000, 0.0000000E+000, 9.7449255E+001, 9.7616764E+001, 5.8230011E-003, 5.8230011E-003
 2.7013897E+001, 1.5773938E+002,-2.0554322E+001,-2.9585574E+001,-1.1799984E+001,-2.7578500E-002, 0.0000000E+000, 0.0000000E+000, 9.6769764E+001, 9.5771923E+001, 6.0539579E-003, 6.0539579E-003
 2.8097572E+001, 1.6102046E+002,-2.4172016E+001,-2.8790996E+001,-1.3165583E+001,-2.8596963E-002, 0.0000000E+000, 0.0000000E+000, 9.5556276E+001, 9.4863272E+001, 6.2773308E-003, 6.2773308E-003
 2.9064093E+001, 1.6548866E+002,-1.9874272E+001,-3.2745126E+001,-1.3813210E+001,-2.9728040E-002, 0.0000000E+000, 0.0000000E+000, 9.7728729E+001, 9.9026321E+001, 6.5243115E-003, 6.5243115E-003
 3.0030615E+001, 1.7237786E+002,-2.1245142E+001,-4.0503173E+001,-1.4519162E+001,-3.0647058E-002, 0.0000000E+000, 0.0000000E+000, 9.5978729E+001, 9.6079733E+001, 6.7368298E-003, 6.7368298E-003
 3.1104527E+001, 1.7684241E+002,-2.3961633E+001,-4.7485987E+001,-1.5443920E+001,-3.1715828E-002, 0.0000000E+000, 0.0000000E+000, 9.0597484E+001, 8.9919152E+001, 6.9812258E-003, 6.9812258E-003
 3.2007683E+001, 1.8627677E+002,-3.1975628E+001,-5.1234727E+001,-1.6490119E+001,-3.2637885E-002, 0.0000000E+000, 0.0000000E+000, 8.7390096E+001, 8.6543663E+001, 7.1846358E-003, 7.1846358E-003
 3.3025520E+001, 1.9145512E+002,-3.2304060E+001,-5.7348021E+001,-1.7289368E+001,-3.3612998E-002, 0.0000000E+000, 0.0000000E+000, 8.3933416E+001, 8.4480055E+001, 7.4020120E-003, 7.4020120E-003
 3.4043362E+001, 1.9922829E+002,-2.8362728E+001,-6.7177668E+001,-1.7720317E+001,-3.4742293E-002, 0.0000000E+000, 0.0000000E+000, 8.5485392E+001, 8.5932835E+001, 7.6506584E-003, 7.6506584E-003
 3.5001453E+001, 2.0422161E+002,-2.9910763E+001,-7.1302363E+001,-1.8586844E+001,-3.5790880E-002, 0.0000000E+000, 0.0000000E+000, 8.4399177E+001, 8.4385845E+001, 7.8716891E-003, 7.8716891E-003
 3.6051826E+001, 2.0626474E+002,-3.7070518E+001,-7.7195632E+001,-1.9462329E+001,-3.6740598E-002, 0.0000000E+000, 0.0000000E+000, 7.2545871E+001, 7.2499517E+001, 8.0988925E-003, 8.0988925E-003
 3.7026009E+001, 2.1480629E+002,-4.0494365E+001,-8.1055131E+001,-2.0525894E+001,-3.7771619E-002, 0.0000000E+000, 0.0000000E+000, 7.1456744E+001, 7.2693125E+001, 8.3218620E-003, 8.3218620E-003
 3.8018234E+001, 2.2077111E+002,-3.6827202E+001,-8.4844460E+001,-2.1423839E+001,-3.8795707E-002, 0.0000000E+000, 0.0000000E+000, 7.7582587E+001, 7.7636817E+001, 8.5496108E-003, 8.5496108E-003
 3.9010460E+001, 2.2498931E+002,-3.8198832E+001,-9.3213847E+001,-2.2223966E+001,-3.9714595E-002, 0.0000000E+000, 0.0000000E+000, 7.1302588E+001, 7.1312950E+001, 8.7600039E-003, 8.7600039E-003
 4.0072803E+001, 2.3306898E+002,-4.3974723E+001,-1.0459572E+002,-2.3049260E+001,-4.0830068E-002, 0.0000000E+000, 0.0000000E+000, 6.1160234E+001, 6.1408453E+001, 9.0210513E-003, 9.0210513E-003
 4.1035923E+001, 2.3155929E+002,-4.3815760E+001,-1.0930983E+002,-2.4172135E+001,-4.1836773E-002, 0.0000000E+000, 0.0000000E+000, 5.4044258E+001, 5.4219723E+001, 9.2503415E-003, 9.2503415E-003
 4.2086601E+001, 2.4916200E+002,-4.6200450E+001,-1.1911312E+002,-2.4805558E+001,-4.2860291E-002, 0.0000000E+000, 0.0000000E+000, 5.8322389E+001, 5.9000018E+001, 9.4676898E-003, 9.4676898E-003
 4.3049721E+001, 2.4908660E+002,-4.6040359E+001,-1.1804060E+002,-2.5183956E+001,-4.3893122E-002, 0.0000000E+000, 0.0000000E+000, 5.9854867E+001, 5.9777795E+001, 9.7024259E-003, 9.7024259E-003
 4.4012840E+001, 2.5705085E+002,-5.2498277E+001,-1.2559030E+002,-2.5709830E+001,-4.4845786E-002, 0.0000000E+000, 0.0000000E+000, 5.3191789E+001, 5.3207603E+001, 9.9110802E-003, 9.9110802E-003
 4.5012444E+001, 2.6284743E+002,-5.4121110E+001,-1.2289419E+002,-2.6241274E+001,-4.5916825E-002, 0.0000000E+000, 0.0000000E+000, 5.8041589E+001, 5.9544936E+001, 1.0153530E-002, 1.0153530E-002
