Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,     79,     31,     15,  0.61955769E-02,      2,     68,     14,     19,  0.33168286E-05
      1,      1,      2,      1,     79,     31,     15,  0.50614197E-02,      1,     73,     38,     40,  0.15716860E-05
      2,      1,      3,      1,     79,     30,     15,  0.25583253E-02,      1,     33,     32,      1,  0.46385032E-05
      2,      1,      4,      1,     79,     30,     15,  0.24487578E-02,      2,     56,     32,     38,  0.13619106E-03
      3,      1,      5,      1,     79,     40,     10,  0.34670932E-02,      1,     48,     32,     20,  0.14606411E-03
      3,      1,      6,      1,     79,     21,     31,  0.28512193E-02,      2,      7,     32,     22,  0.19572997E-03
      4,      1,      7,      1,     79,     21,     31,  0.24255202E-02,      2,      7,     32,     22,  0.18776823E-03
      4,      1,      8,      1,     79,     21,     31,  0.16855328E-02,      2,     20,     32,     22,  0.24112723E-03
      5,      1,      9,      1,     79,     45,     36,  0.13168138E-02,      2,      7,     32,     22,  0.17566221E-03
      5,      1,     10,      1,     79,     45,     36,  0.11856156E-02,      1,     70,     10,      8,  0.98435498E-03
      6,      1,     11,      1,     79,     26,     29,  0.10746911E-02,      1,     70,     10,      8,  0.86519215E-03
      6,      1,     12,      1,     79,     57,     36,  0.10271803E-02,      1,     70,     10,      8,  0.19277327E-02
      7,      1,     13,      1,     79,     42,     36,  0.11053653E-02,      1,     70,     10,      8,  0.18798948E-02
      7,      1,     14,      1,     79,     32,     22,  0.11589915E-02,      1,     70,     10,      8,  0.28106097E-02
      8,      1,     15,      1,     79,     32,     22,  0.12773788E-02,      1,     70,     10,      8,  0.28063732E-02
      8,      1,     16,      1,     79,     32,     22,  0.12624468E-02,      1,     70,     10,      8,  0.37112985E-02
      9,      1,     17,      1,     79,     32,     22,  0.12304583E-02,      1,     70,     10,      8,  0.39090297E-02
      9,      1,     18,      1,     79,     32,     22,  0.11415893E-02,      1,     70,     10,      8,  0.42064705E-02
     10,      1,     19,      1,     79,     32,     22,  0.10316586E-02,      1,     70,     10,      8,  0.46292560E-02
     10,      1,     20,      1,     79,     19,     31,  0.98187449E-03,      1,     70,     10,      8,  0.49397723E-02
     11,      1,     21,      2,      0,     19,     31,  0.94279779E-03,      1,     70,     10,      8,  0.55610937E-02
     11,      1,     22,      2,      0,     19,     31,  0.94552444E-03,      1,     70,     10,      8,  0.47486368E-02
     12,      1,     23,      1,     79,     30,     17,  0.10239618E-02,      1,     70,     10,      8,  0.54303335E-02
     12,      1,     24,      1,     79,     30,     17,  0.10055657E-02,      1,     70,     10,      8,  0.12010681E-01
     13,      1,     25,      1,     79,     30,     17,  0.11507730E-02,      1,     70,     10,      8,  0.11951891E-01
     13,      1,     26,      1,     79,     30,     17,  0.11319737E-02,      1,     70,     10,      8,  0.70580610E-02
     14,      1,     27,      1,     79,     30,     17,  0.12438818E-02,      1,     70,     10,      8,  0.90353528E-02
     14,      1,     28,      1,     67,     19,      7,  0.12479708E-02,      1,     67,     21,      8,  0.28764896E-01
     15,      1,     29,      1,     79,     30,     17,  0.12094472E-02,      1,     67,     21,      8,  0.26033255E-01
     15,      1,     30,      1,     67,     19,      7,  0.27513207E-02,      1,     67,     19,      8,  0.19771431E-01
     16,      1,     31,      1,     64,     18,      7,  0.17857405E-02,      1,     67,     19,      8,  0.74622567E-02
     16,      1,     32,      1,     64,     15,      7,  0.50658311E-02,      1,     62,     17,      8,  0.10323220E+00
     17,      1,     33,      1,     65,     16,      7,  0.25570110E-02,      1,     62,     17,      8,  0.84126734E-01
     17,      1,     34,      1,     64,     15,      7,  0.77111385E-02,      1,     62,     17,      8,  0.14208148E+00
     18,      1,     35,      1,     64,     15,      7,  0.50141819E-02,      1,     62,     17,      8,  0.89871561E-01
     18,      1,     36,      1,     64,     15,      7,  0.13713489E-01,      1,     62,     17,      8,  0.36385064E+00
     19,      1,     37,      1,     65,     15,      7,  0.72764285E-02,      1,     62,     17,      8,  0.27884712E+00
     19,      1,     38,      1,     64,     15,      7,  0.16710467E-01,      1,     63,     18,      8,  0.45294853E+00
     20,      1,     39,      1,     64,     15,      7,  0.11342202E-01,      1,     62,     17,      8,  0.26565283E+00
     20,      1,     40,      1,     65,     15,      7,  0.31956329E-01,      1,     65,     16,      8,  0.12892906E+01
     21,      1,     41,      1,     65,     15,      7,  0.17039140E-01,      1,     65,     16,      8,  0.95399141E+00
     21,      1,     42,      1,     65,     15,      7,  0.41017458E-01,      1,     67,     18,      8,  0.21351870E+01
     22,      1,     43,      1,     65,     15,      7,  0.28446970E-01,      1,     67,     18,      8,  0.10219239E+01
     22,      1,     44,      1,     65,     15,      7,  0.52903946E-01,      1,     65,     16,      8,  0.30729905E+01
     23,      1,     45,      1,     65,     15,      7,  0.28534508E-01,      1,     65,     16,      8,  0.21650248E+01
     23,      1,     46,      1,     65,     15,      7,  0.75195623E-01,      1,     65,     15,      8,  0.73429874E+01
     24,      1,     47,      1,     65,     15,      7,  0.60220296E-01,      1,     65,     15,      8,  0.31570772E+01
     24,      1,     48,      1,     65,     15,      7,  0.49244213E-01,      1,     65,     15,      8,  0.50253922E+01
     25,      1,     49,      1,     65,     15,      7,  0.39496245E-01,      1,     65,     15,      8,  0.28871880E+01
     25,      1,     50,      1,     65,     15,      7,  0.70781738E-01,      1,     65,     15,      8,  0.11591200E+02
     26,      1,     51,      1,     65,     15,      7,  0.68936612E-01,      1,     65,     15,      8,  0.55065601E+01
     26,      1,     52,      1,     66,     16,      7,  0.46391945E-01,      1,     65,     15,      8,  0.52094993E+01
     27,      1,     53,      1,     65,     15,      7,  0.52055045E-01,      1,     65,     15,      8,  0.20343192E+01
     27,      1,     54,      1,     66,     16,      7,  0.66547496E-01,      1,     66,     16,      8,  0.90309945E+01
     28,      1,     55,      1,     66,     16,      7,  0.56892584E-01,      1,     66,     16,      8,  0.45266872E+01
     28,      1,     56,      1,     65,     17,      7,  0.31837057E-01,      1,     66,     16,      8,  0.30960518E+01
     29,      1,     57,      1,     66,     16,      7,  0.31461469E-01,      1,     65,     18,      8,  0.73443369E+00
     29,      1,     58,      1,     67,     14,      7,  0.31303450E-01,      1,     66,     16,      8,  0.41361623E+01
     30,      1,     59,      1,     65,     17,      7,  0.22674106E-01,      1,     66,     16,      8,  0.21190858E+01
     30,      1,     60,      1,     65,     15,     11,  0.13661432E-01,      1,     66,     16,      8,  0.70079802E+00
     31,      1,     61,      1,     65,     15,     11,  0.21953196E-01,      1,     66,     16,      8,  0.11235374E+01
     31,      1,     62,      1,     65,     15,     11,  0.16289146E-01,      1,     67,     14,      8,  0.58006260E+00
     32,      1,     63,      1,     65,     15,     11,  0.30100653E-01,      1,     66,     16,      8,  0.55834123E+00
     32,      1,     64,      1,     65,     15,     11,  0.21329333E-01,      1,     65,     15,     10,  0.48376145E+00
     33,      1,     65,      1,     65,     15,     11,  0.40143055E-01,      1,     67,     14,      8,  0.20800902E+00
     33,      1,     66,      1,     65,     15,     11,  0.25789215E-01,      1,     65,     15,     10,  0.10889660E+01
     34,      1,     67,      1,     65,     15,     11,  0.45950030E-01,      1,     65,     15,     10,  0.20686499E+00
     34,      1,     68,      1,     65,     15,     11,  0.25425235E-01,      1,     65,     15,     10,  0.14616297E+01
     35,      1,     69,      1,     65,     15,     11,  0.45092281E-01,      1,     65,     15,     10,  0.36862744E+00
     35,      1,     70,      1,     65,     15,     11,  0.21383317E-01,      1,     65,     15,     10,  0.14555565E+01
     36,      1,     71,      1,     65,     16,     11,  0.39426606E-01,      1,     65,     15,     10,  0.46112743E+00
     36,      1,     72,      1,     65,     16,     11,  0.26262521E-01,      1,     65,     15,     10,  0.11566181E+01
     37,      1,     73,      1,     65,     16,     11,  0.47669060E-01,      1,     65,     15,     10,  0.43714912E+00
     37,      1,     74,      1,     65,     16,     11,  0.27802398E-01,      1,     65,     16,     10,  0.14901785E+01
     38,      1,     75,      1,     65,     16,     11,  0.49961974E-01,      1,     65,     16,     10,  0.45062541E+00
     38,      1,     76,      1,     65,     16,     11,  0.24499548E-01,      1,     65,     16,     10,  0.15066670E+01
     39,      1,     77,      1,     65,     16,     11,  0.44269118E-01,      1,     65,     16,     10,  0.52286571E+00
     39,      1,     78,      1,     65,     16,     11,  0.17455879E-01,      1,     65,     16,     10,  0.12078302E+01
     40,      1,     79,      1,     65,     16,     11,  0.32187146E-01,      1,     65,     16,     10,  0.51527936E+00
     40,      1,     80,      1,     64,     16,     11,  0.19289616E-01,      1,     64,     16,     10,  0.89074348E+00
