s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6447665E-003, 2.9032729E-001, 0.0000000E+000, 3.4439052E-002, 1.6458352E+001, 5.5252262E-002, 1.0000000E+001, 1.1000000E+001, 7.2005366E-002, 3.1636824E-009
 5.2895331E-003, 2.9128382E-001, 0.0000000E+000, 3.5313649E-002, 4.8592577E-002, 7.7027928E-003, 1.0000000E+000, 1.0000000E+001, 7.4956756E-002, 8.5030189E-009
 7.9342996E-003, 2.8996535E-001, 0.0000000E+000, 3.5553986E-002,-8.2678089E-002, 1.2467172E-003, 1.0000000E+000, 1.0000000E+001, 7.4930857E-002, 1.2691292E-009
 1.0579066E-002, 2.8833237E-001, 0.0000000E+000, 3.5733803E-002,-9.7864359E-002, 4.9544346E-004, 1.0000000E+000, 1.0000000E+001, 7.4765525E-002, 4.2405075E-010
 1.3488309E-002, 2.8639158E-001, 0.0000000E+000, 3.5924124E-002,-1.0197948E-001, 4.6556162E-004, 1.0000000E+000, 1.0000000E+001, 7.4731779E-002, 3.4169938E-010
 1.6397553E-002, 2.8432528E-001, 0.0000000E+000, 3.6114496E-002,-1.0503042E-001, 4.8668226E-004, 1.0000000E+000, 1.0000000E+001, 7.4764799E-002, 3.5521774E-010
 1.9597720E-002, 2.8190539E-001, 0.0000000E+000, 3.6324211E-002,-1.0799187E-001, 5.6175595E-004, 1.0000000E+000, 1.0000000E+001, 7.4809638E-002, 3.7337465E-010
 2.2797888E-002, 2.7933292E-001, 0.0000000E+000, 3.6534912E-002,-1.1118561E-001, 6.0171800E-004, 1.0000000E+000, 1.0000000E+001, 7.4858155E-002, 4.0103370E-010
 2.6318072E-002, 2.7632269E-001, 0.0000000E+000, 3.6767018E-002,-1.1438936E-001, 6.9721852E-004, 1.0000000E+000, 1.0000000E+001, 7.4915640E-002, 4.2433685E-010
 2.9838256E-002, 2.7312687E-001, 0.0000000E+000, 3.7000051E-002,-1.1783536E-001, 7.4802863E-004, 1.0000000E+000, 1.0000000E+001, 7.4970745E-002, 4.5707189E-010
 3.3710459E-002, 2.6939445E-001, 0.0000000E+000, 3.7256391E-002,-1.2124699E-001, 8.6798766E-004, 1.0000000E+000, 1.0000000E+001, 7.5037850E-002, 4.8511743E-010
 3.7582662E-002, 2.6544206E-001, 0.0000000E+000, 3.7513356E-002,-1.2488121E-001, 9.3259692E-004, 1.0000000E+000, 1.0000000E+001, 7.5097217E-002, 5.2372264E-010
 4.1454864E-002, 2.6127224E-001, 0.0000000E+000, 3.7770306E-002,-1.2848825E-001, 9.9270388E-004, 1.0000000E+000, 1.0000000E+001, 7.5159322E-002, 5.5994861E-010
 4.5327067E-002, 2.5689045E-001, 0.0000000E+000, 3.8026950E-002,-1.3198658E-001, 1.0535528E-003, 1.0000000E+000, 1.0000000E+001, 7.5221252E-002, 5.9708815E-010
 4.9586490E-002, 2.5183016E-001, 0.0000000E+000, 3.8307975E-002,-1.3530455E-001, 1.2194444E-003, 1.0000000E+000, 1.0000000E+001, 7.5297466E-002, 6.3270772E-010
 5.3845913E-002, 2.4358578E-001, 0.0000000E+000, 3.8025440E-002,-2.4428070E-001, 1.0704400E-003, 1.0000000E+000, 1.0000000E+001, 7.5185605E-002, 7.2699269E-010
 5.8105336E-002, 2.3473431E-001, 0.0000000E+000, 3.7638576E-002,-2.6228968E-001, 1.3933719E-003, 1.0000000E+000, 1.0000000E+001, 7.5070965E-002, 8.8052770E-010
 6.2364759E-002, 2.2592085E-001, 0.0000000E+000, 3.7267095E-002,-2.5767207E-001, 1.3846043E-003, 1.0000000E+000, 1.0000000E+001, 7.5169435E-002, 8.9744207E-010
 6.6624182E-002, 2.1702386E-001, 0.0000000E+000, 3.6886141E-002,-2.5784946E-001, 1.3923917E-003, 1.0000000E+000, 1.0000000E+001, 7.5243561E-002, 9.2286022E-010
 7.1309547E-002, 2.0704742E-001, 0.0000000E+000, 3.6433887E-002,-2.6137939E-001, 1.5742333E-003, 1.0000000E+000, 1.0000000E+001, 7.5297940E-002, 9.6116812E-010
 7.5994912E-002, 1.9702906E-001, 0.0000000E+000, 3.5968436E-002,-2.6095284E-001, 1.6145146E-003, 1.0000000E+000, 1.0000000E+001, 7.5360381E-002, 1.0034782E-009
 8.0680278E-002, 1.8714387E-001, 0.0000000E+000, 3.5518923E-002,-2.5540641E-001, 1.5815781E-003, 1.0000000E+000, 1.0000000E+001, 7.5470885E-002, 1.0188772E-009
 8.5365643E-002, 1.7712101E-001, 0.0000000E+000, 3.5030177E-002,-2.5926427E-001, 1.6559696E-003, 1.0000000E+000, 1.0000000E+001, 7.5499758E-002, 1.0718240E-009
 9.0051008E-002, 1.6713557E-001, 0.0000000E+000, 3.4529095E-002,-2.5804097E-001, 1.6910188E-003, 1.0000000E+000, 1.0000000E+001, 7.5559046E-002, 1.1112638E-009
