s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6404075E-003, 0.0000000E+000, 0.0000000E+000,-2.5594282E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5594282E-003, 0.0000000E+000, 0.0000000E+000
 5.2808151E-003, 0.0000000E+000, 0.0000000E+000,-2.1780861E-005, 8.9934533E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2109369E-004,-2.1771868E-005, 0.0000000E+000, 0.0000000E+000
 7.9212226E-003, 0.0000000E+000, 0.0000000E+000,-1.3977525E-005, 1.7621837E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1950895E-004,-1.3959903E-005, 0.0000000E+000, 0.0000000E+000
 1.0561630E-002, 0.0000000E+000, 0.0000000E+000,-1.4137262E-005, 2.5946650E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1939676E-004,-1.4111315E-005, 0.0000000E+000, 0.0000000E+000
 1.3466079E-002, 0.0000000E+000, 0.0000000E+000,-1.5321659E-005, 3.4786913E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1929065E-004,-1.5286872E-005, 0.0000000E+000, 0.0000000E+000
 1.6370527E-002, 0.0000000E+000, 0.0000000E+000,-1.5582626E-005, 4.3343757E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1917073E-004,-1.5539282E-005, 0.0000000E+000, 0.0000000E+000
 1.9565420E-002, 0.0000000E+000, 0.0000000E+000,-1.7048248E-005, 5.2450873E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1905817E-004,-1.6995797E-005, 0.0000000E+000, 0.0000000E+000
 2.2760313E-002, 0.0000000E+000, 0.0000000E+000,-1.7407324E-005, 6.1254385E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1893069E-004,-1.7346070E-005, 0.0000000E+000, 0.0000000E+000
 2.6274696E-002, 0.0000000E+000, 0.0000000E+000,-1.9226318E-005, 7.0582500E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1881200E-004,-1.9155735E-005, 0.0000000E+000, 0.0000000E+000
 2.9789079E-002, 0.0000000E+000, 0.0000000E+000,-1.9714727E-005, 7.9553552E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1867731E-004,-1.9635173E-005, 0.0000000E+000, 0.0000000E+000
 3.3654898E-002, 0.0000000E+000, 0.0000000E+000,-2.1978723E-005, 8.9016811E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1855318E-004,-2.1889706E-005, 0.0000000E+000, 0.0000000E+000
 3.7520722E-002, 0.0000000E+000, 0.0000000E+000,-2.2636903E-005, 9.8096748E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1841193E-004,-2.2538806E-005, 0.0000000E+000, 0.0000000E+000
 4.1386541E-002, 0.0000000E+000, 0.0000000E+000,-2.3310267E-005, 1.0683349E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1827314E-004,-2.3203434E-005, 0.0000000E+000, 0.0000000E+000
 4.5252364E-002, 0.0000000E+000, 0.0000000E+000,-2.4004363E-005, 1.1527398E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1813784E-004,-2.3889089E-005, 0.0000000E+000, 0.0000000E+000
 4.9504764E-002, 0.0000000E+000, 0.0000000E+000,-2.7074063E-005, 1.2426924E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1801702E-004,-2.6949794E-005, 0.0000000E+000, 0.0000000E+000
 5.3757168E-002, 0.0000000E+000, 0.0000000E+000,-1.2907654E-005, 1.3285275E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0910078E-004,-1.2774801E-005, 0.0000000E+000, 0.0000000E+000
 5.8009572E-002, 0.0000000E+000, 0.0000000E+000,-1.1799458E-005, 1.4114103E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0275414E-004,-1.1658317E-005, 0.0000000E+000, 0.0000000E+000
 6.2261973E-002, 0.0000000E+000, 0.0000000E+000,-1.1433919E-005, 1.4918811E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9631756E-004,-1.1284731E-005, 0.0000000E+000, 0.0000000E+000
 6.6939615E-002, 0.0000000E+000, 0.0000000E+000,-1.3977125E-005, 1.5781294E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8960227E-004,-1.3819312E-005, 0.0000000E+000, 0.0000000E+000
 7.1617261E-002, 0.0000000E+000, 0.0000000E+000,-1.3748784E-005, 1.6624806E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8257589E-004,-1.3582536E-005, 0.0000000E+000, 0.0000000E+000
 7.6294906E-002, 0.0000000E+000, 0.0000000E+000,-1.5003622E-005, 1.7452701E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7613920E-004,-1.4829095E-005, 0.0000000E+000, 0.0000000E+000
 8.0972545E-002, 0.0000000E+000, 0.0000000E+000,-1.4786753E-005, 1.8264507E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6906928E-004,-1.4604108E-005, 0.0000000E+000, 0.0000000E+000
 8.5650191E-002, 0.0000000E+000, 0.0000000E+000,-1.5312000E-005, 1.9061568E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6214799E-004,-1.5121384E-005, 0.0000000E+000, 0.0000000E+000
 9.0327837E-002, 0.0000000E+000, 0.0000000E+000,-1.6614231E-005, 1.9845231E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5564309E-004,-1.6415779E-005, 0.0000000E+000, 0.0000000E+000
 9.5005475E-002, 0.0000000E+000, 0.0000000E+000,-1.6458733E-005, 2.0613658E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4850352E-004,-1.6252596E-005, 0.0000000E+000, 0.0000000E+000
 9.9683121E-002, 0.0000000E+000, 0.0000000E+000,-1.7814146E-005, 2.1367743E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4195155E-004,-1.7600469E-005, 0.0000000E+000, 0.0000000E+000
 1.0436076E-001, 0.0000000E+000, 0.0000000E+000, 2.9142945E-006, 2.2091212E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3111794E-004, 3.1352067E-006, 0.0000000E+000, 0.0000000E+000
 1.0903841E-001, 0.0000000E+000, 0.0000000E+000, 4.6134235E-006, 2.2789889E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2165916E-004, 4.8413224E-006, 0.0000000E+000, 0.0000000E+000
 1.1371605E-001, 0.0000000E+000, 0.0000000E+000, 2.6564603E-006, 2.3465591E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1294657E-004, 2.8911162E-006, 0.0000000E+000, 0.0000000E+000
 1.1839369E-001, 0.0000000E+000, 0.0000000E+000, 3.9341005E-006, 2.4115272E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0338405E-004, 4.1752532E-006, 0.0000000E+000, 0.0000000E+000
 1.2307134E-001, 0.0000000E+000, 0.0000000E+000, 3.5685109E-006, 2.4739039E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9405146E-004, 3.8159013E-006, 0.0000000E+000, 0.0000000E+000
 1.2774898E-001, 0.0000000E+000, 0.0000000E+000, 1.5086966E-006, 2.5338047E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8530883E-004, 1.7620771E-006, 0.0000000E+000, 0.0000000E+000
 1.3242662E-001, 0.0000000E+000, 0.0000000E+000, 2.6753683E-006, 2.5909421E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7571693E-004, 2.9344625E-006, 0.0000000E+000, 0.0000000E+000
 1.3710427E-001, 0.0000000E+000, 0.0000000E+000, 5.3633491E-007, 2.6455488E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6695565E-004, 8.0088979E-007, 0.0000000E+000, 0.0000000E+000
 1.4178191E-001, 0.0000000E+000, 0.0000000E+000, 1.6092149E-006, 2.6973350E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5734763E-004, 1.8789484E-006, 0.0000000E+000, 0.0000000E+000
 1.4645955E-001, 0.0000000E+000, 0.0000000E+000, 1.0182533E-006, 2.7463937E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4797358E-004, 1.2928927E-006, 0.0000000E+000, 0.0000000E+000
 1.5113719E-001, 0.0000000E+000, 0.0000000E+000,-1.5702523E-005, 2.7945776E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4541867E-004,-1.5423065E-005, 0.0000000E+000, 0.0000000E+000
 1.5581484E-001, 0.0000000E+000, 0.0000000E+000,-6.3991906E-005, 2.8467738E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6068069E-004,-6.3707229E-005, 0.0000000E+000, 0.0000000E+000
 1.6049248E-001, 0.0000000E+000, 0.0000000E+000,-6.5560847E-005, 2.9009166E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6769783E-004,-6.5270755E-005, 0.0000000E+000, 0.0000000E+000
 1.6517012E-001, 0.0000000E+000, 0.0000000E+000,-6.6142386E-005, 2.9569321E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7419174E-004,-6.5846693E-005, 0.0000000E+000, 0.0000000E+000
 1.6984777E-001, 0.0000000E+000, 0.0000000E+000,-6.8557785E-005, 3.0150064E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8139348E-004,-6.8256284E-005, 0.0000000E+000, 0.0000000E+000
 1.7452541E-001, 0.0000000E+000, 0.0000000E+000,-6.9255815E-005, 3.0749888E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8791759E-004,-6.8948317E-005, 0.0000000E+000, 0.0000000E+000
 1.7920305E-001, 0.0000000E+000, 0.0000000E+000,-7.1796369E-005, 3.1370770E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9514931E-004,-7.1482662E-005, 0.0000000E+000, 0.0000000E+000
 1.8388070E-001, 0.0000000E+000, 0.0000000E+000,-7.3524452E-005, 3.2012252E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0220159E-004,-7.3204330E-005, 0.0000000E+000, 0.0000000E+000
 1.8855834E-001, 0.0000000E+000, 0.0000000E+000,-7.4429787E-005, 3.2672854E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0877243E-004,-7.4103058E-005, 0.0000000E+000, 0.0000000E+000
 1.9323598E-001, 0.0000000E+000, 0.0000000E+000,-7.7201253E-005, 3.3353962E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1605334E-004,-7.6867713E-005, 0.0000000E+000, 0.0000000E+000
 1.9791363E-001, 0.0000000E+000, 0.0000000E+000,-7.8281216E-005, 3.4053532E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2265976E-004,-7.7940681E-005, 0.0000000E+000, 0.0000000E+000
 2.0259127E-001, 0.0000000E+000, 0.0000000E+000,-7.0438839E-005, 3.4765292E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2802781E-004,-7.0091186E-005, 0.0000000E+000, 0.0000000E+000
 2.0726891E-001, 0.0000000E+000, 0.0000000E+000,-6.3204387E-005, 3.5485756E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3242451E-004,-6.2849530E-005, 0.0000000E+000, 0.0000000E+000
 2.1194656E-001, 0.0000000E+000, 0.0000000E+000,-6.4941050E-005, 3.6216846E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3722440E-004,-6.4578882E-005, 0.0000000E+000, 0.0000000E+000
 2.1662420E-001, 0.0000000E+000, 0.0000000E+000,-6.6999609E-005, 3.6958596E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4254308E-004,-6.6630023E-005, 0.0000000E+000, 0.0000000E+000
 2.2130184E-001, 0.0000000E+000, 0.0000000E+000,-6.9047245E-005, 3.7710010E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4775919E-004,-6.8670145E-005, 0.0000000E+000, 0.0000000E+000
 2.2597949E-001, 0.0000000E+000, 0.0000000E+000,-7.1088913E-005, 3.8469594E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5265215E-004,-7.0704217E-005, 0.0000000E+000, 0.0000000E+000
 2.3065713E-001, 0.0000000E+000, 0.0000000E+000,-7.3448724E-005, 3.9237596E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5806179E-004,-7.3056348E-005, 0.0000000E+000, 0.0000000E+000
 2.3533477E-001, 0.0000000E+000, 0.0000000E+000,-7.5712768E-005, 4.0012637E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6301889E-004,-7.5312642E-005, 0.0000000E+000, 0.0000000E+000
 2.4001242E-001, 0.0000000E+000, 0.0000000E+000,-7.8312956E-005, 4.0795298E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6849409E-004,-7.7905003E-005, 0.0000000E+000, 0.0000000E+000
 2.4469006E-001, 0.0000000E+000, 0.0000000E+000,-8.0943371E-005, 4.1585318E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7387268E-004,-8.0527517E-005, 0.0000000E+000, 0.0000000E+000
 2.4889867E-001, 0.0000000E+000, 0.0000000E+000,-7.4218346E-005, 4.2301390E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7822338E-004,-7.3795332E-005, 0.0000000E+000, 0.0000000E+000
 2.5310728E-001, 0.0000000E+000, 0.0000000E+000,-1.1638638E-004, 4.3048248E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8720272E-004,-1.1595589E-004, 0.0000000E+000, 0.0000000E+000
 2.5731590E-001, 0.0000000E+000, 0.0000000E+000,-1.3317188E-004, 4.3796393E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9559622E-004,-1.3273392E-004, 0.0000000E+000, 0.0000000E+000
 2.6152450E-001, 0.0000000E+000, 0.0000000E+000,-1.3645888E-004, 4.4561479E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0327511E-004,-1.3601326E-004, 0.0000000E+000, 0.0000000E+000
 2.6573312E-001, 0.0000000E+000, 0.0000000E+000,-1.3983324E-004, 4.5335350E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1095890E-004,-1.3937989E-004, 0.0000000E+000, 0.0000000E+000
 2.6994172E-001, 0.0000000E+000, 0.0000000E+000,-1.4589407E-004, 4.6118820E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1926410E-004,-1.4543288E-004, 0.0000000E+000, 0.0000000E+000
 2.7415034E-001, 0.0000000E+000, 0.0000000E+000,-1.4705021E-004, 4.6908409E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2671507E-004,-1.4658112E-004, 0.0000000E+000, 0.0000000E+000
 2.7835897E-001, 0.0000000E+000, 0.0000000E+000,-1.5085122E-004, 4.7704177E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3443688E-004,-1.5037418E-004, 0.0000000E+000, 0.0000000E+000
 2.8256756E-001, 0.0000000E+000, 0.0000000E+000,-1.5481995E-004, 4.8505187E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4217609E-004,-1.5433490E-004, 0.0000000E+000, 0.0000000E+000
 2.8677619E-001, 0.0000000E+000, 0.0000000E+000,-1.5895726E-004, 4.9310735E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4993205E-004,-1.5846416E-004, 0.0000000E+000, 0.0000000E+000
 2.9098478E-001, 0.0000000E+000, 0.0000000E+000,-1.6327236E-004, 5.0120340E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5770608E-004,-1.6277116E-004, 0.0000000E+000, 0.0000000E+000
 2.9519340E-001, 0.0000000E+000, 0.0000000E+000,-1.6777501E-004, 5.0933748E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6549955E-004,-1.6726567E-004, 0.0000000E+000, 0.0000000E+000
 2.9940200E-001, 0.0000000E+000, 0.0000000E+000,-1.7503124E-004, 5.1752791E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7392237E-004,-1.7451371E-004, 0.0000000E+000, 0.0000000E+000
