s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6394955E-003, 0.0000000E+000, 0.0000000E+000,-5.3612703E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3612703E-006, 0.0000000E+000, 0.0000000E+000
 5.2789911E-003, 0.0000000E+000, 0.0000000E+000,-5.1620757E-006, 8.9558340E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1969879E-004,-5.1531199E-006, 0.0000000E+000, 0.0000000E+000
 7.9184864E-003, 0.0000000E+000, 0.0000000E+000,-4.9654902E-006, 1.7581571E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1950551E-004,-4.9479086E-006, 0.0000000E+000, 0.0000000E+000
 1.0557982E-002, 0.0000000E+000, 0.0000000E+000,-4.7689433E-006, 2.5903943E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1939817E-004,-4.7430393E-006, 0.0000000E+000, 0.0000000E+000
 1.3461427E-002, 0.0000000E+000, 0.0000000E+000,-4.5530181E-006, 3.4741735E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1929317E-004,-4.5182764E-006, 0.0000000E+000, 0.0000000E+000
 1.6364872E-002, 0.0000000E+000, 0.0000000E+000,-4.3373816E-006, 4.3296239E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1917304E-004,-4.2940853E-006, 0.0000000E+000, 0.0000000E+000
 1.9558663E-002, 0.0000000E+000, 0.0000000E+000,-4.1005512E-006, 5.2400988E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1906181E-004,-4.0481502E-006, 0.0000000E+000, 0.0000000E+000
 2.2752451E-002, 0.0000000E+000, 0.0000000E+000,-3.8641081E-006, 6.1202296E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1893408E-004,-3.8029058E-006, 0.0000000E+000, 0.0000000E+000
 2.6265619E-002, 0.0000000E+000, 0.0000000E+000,-3.6045163E-006, 7.0528239E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1881699E-004,-3.5339880E-006, 0.0000000E+000, 0.0000000E+000
 2.9778788E-002, 0.0000000E+000, 0.0000000E+000,-3.3454440E-006, 7.9497297E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1868200E-004,-3.2659467E-006, 0.0000000E+000, 0.0000000E+000
 3.3643275E-002, 0.0000000E+000, 0.0000000E+000,-3.0611276E-006, 8.8958610E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1855981E-004,-2.9721689E-006, 0.0000000E+000, 0.0000000E+000
 3.7507758E-002, 0.0000000E+000, 0.0000000E+000,-2.7775058E-006, 9.8036722E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1841821E-004,-2.6794691E-006, 0.0000000E+000, 0.0000000E+000
 4.1372243E-002, 0.0000000E+000, 0.0000000E+000,-2.4946191E-006, 1.0677173E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1827987E-004,-2.3878474E-006, 0.0000000E+000, 0.0000000E+000
 4.5236729E-002, 0.0000000E+000, 0.0000000E+000,-2.2124999E-006, 1.1521052E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1814502E-004,-2.0972894E-006, 0.0000000E+000, 0.0000000E+000
 4.9487665E-002, 0.0000000E+000, 0.0000000E+000,-1.9031287E-006, 1.2420398E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1802676E-004,-1.7789247E-006, 0.0000000E+000, 0.0000000E+000
 5.3738598E-002, 0.0000000E+000, 0.0000000E+000,-1.5051059E-006, 1.3278500E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0909419E-004,-1.3723209E-006, 0.0000000E+000, 0.0000000E+000
 5.7989530E-002, 0.0000000E+000, 0.0000000E+000,-1.0990304E-006, 1.4107101E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0275502E-004,-9.5795936E-007, 0.0000000E+000, 0.0000000E+000
 6.2240466E-002, 0.0000000E+000, 0.0000000E+000,-6.9344469E-007, 1.4912506E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9675857E-004,-5.4431963E-007, 0.0000000E+000, 0.0000000E+000
 6.6916496E-002, 0.0000000E+000, 0.0000000E+000,-2.4409349E-007, 1.5774299E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8943293E-004,-8.6350506E-008, 0.0000000E+000, 0.0000000E+000
 7.1592517E-002, 0.0000000E+000, 0.0000000E+000, 2.0479443E-007, 1.6617538E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8257902E-004, 3.7096980E-007, 0.0000000E+000, 0.0000000E+000
 7.6268546E-002, 0.0000000E+000, 0.0000000E+000, 6.4884588E-007, 1.7445161E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7614463E-004, 8.2329748E-007, 0.0000000E+000, 0.0000000E+000
 8.0944575E-002, 0.0000000E+000, 0.0000000E+000, 1.0972156E-006, 1.8256689E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6907399E-004, 1.2797825E-006, 0.0000000E+000, 0.0000000E+000
 8.5620604E-002, 0.0000000E+000, 0.0000000E+000, 1.5408418E-006, 1.9054521E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6259332E-004, 1.7313870E-006, 0.0000000E+000, 0.0000000E+000
 9.0296626E-002, 0.0000000E+000, 0.0000000E+000, 1.9889610E-006, 1.9837482E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5547663E-004, 2.1873359E-006, 0.0000000E+000, 0.0000000E+000
 9.4972655E-002, 0.0000000E+000, 0.0000000E+000, 2.4370614E-006, 2.0605646E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4851017E-004, 2.6431179E-006, 0.0000000E+000, 0.0000000E+000
 9.9648684E-002, 0.0000000E+000, 0.0000000E+000, 2.8805819E-006, 2.1359478E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4196055E-004, 3.0941767E-006, 0.0000000E+000, 0.0000000E+000
 1.0432471E-001, 0.0000000E+000, 0.0000000E+000, 3.2932745E-006, 2.2082622E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3110657E-004, 3.5141007E-006, 0.0000000E+000, 0.0000000E+000
 1.0900073E-001, 0.0000000E+000, 0.0000000E+000, 3.6937033E-006, 2.2781032E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2165760E-004, 3.9215136E-006, 0.0000000E+000, 0.0000000E+000
 1.1367676E-001, 0.0000000E+000, 0.0000000E+000, 4.0819621E-006, 2.3456493E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1294815E-004, 4.3165271E-006, 0.0000000E+000, 0.0000000E+000
 1.1835279E-001, 0.0000000E+000, 0.0000000E+000, 4.4642666E-006, 2.4105936E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0338351E-004, 4.7053260E-006, 0.0000000E+000, 0.0000000E+000
 1.2302882E-001, 0.0000000E+000, 0.0000000E+000, 4.8349346E-006, 2.4731183E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9465238E-004, 5.0822464E-006, 0.0000000E+000, 0.0000000E+000
 1.2770484E-001, 0.0000000E+000, 0.0000000E+000, 5.1997974E-006, 2.5329270E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8506766E-004, 5.4530901E-006, 0.0000000E+000, 0.0000000E+000
 1.3238087E-001, 0.0000000E+000, 0.0000000E+000, 5.5560900E-006, 2.5900445E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7571792E-004, 5.8150945E-006, 0.0000000E+000, 0.0000000E+000
 1.3705690E-001, 0.0000000E+000, 0.0000000E+000, 5.9015420E-006, 2.6446329E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6696013E-004, 6.1660053E-006, 0.0000000E+000, 0.0000000E+000
 1.4173293E-001, 0.0000000E+000, 0.0000000E+000, 6.2413987E-006, 2.6964012E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5735006E-004, 6.5110388E-006, 0.0000000E+000, 0.0000000E+000
 1.4640896E-001, 0.0000000E+000, 0.0000000E+000, 6.5708780E-006, 2.7456155E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4857733E-004, 6.8454395E-006, 0.0000000E+000, 0.0000000E+000
 1.5108499E-001, 0.0000000E+000, 0.0000000E+000, 6.8510869E-006, 2.7937195E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4519483E-004, 7.1304589E-006, 0.0000000E+000, 0.0000000E+000
 1.5576102E-001, 0.0000000E+000, 0.0000000E+000, 6.9779898E-006, 2.8459226E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6074195E-004, 7.2625821E-006, 0.0000000E+000, 0.0000000E+000
 1.6043703E-001, 0.0000000E+000, 0.0000000E+000, 7.1098883E-006, 2.8999296E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6723496E-004, 7.3998812E-006, 0.0000000E+000, 0.0000000E+000
 1.6511306E-001, 0.0000000E+000, 0.0000000E+000, 7.2354096E-006, 2.9559793E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7442427E-004, 7.5310075E-006, 0.0000000E+000, 0.0000000E+000
 1.6978909E-001, 0.0000000E+000, 0.0000000E+000, 7.3656471E-006, 3.0139167E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8093255E-004, 7.6670388E-006, 0.0000000E+000, 0.0000000E+000
 1.7446512E-001, 0.0000000E+000, 0.0000000E+000, 7.4897006E-006, 3.0739325E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8815106E-004, 7.7970938E-006, 0.0000000E+000, 0.0000000E+000
 1.7914115E-001, 0.0000000E+000, 0.0000000E+000, 7.6131697E-006, 3.1360131E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9518757E-004, 7.9267710E-006, 0.0000000E+000, 0.0000000E+000
 1.8381718E-001, 0.0000000E+000, 0.0000000E+000, 7.7415201E-006, 3.2000228E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0174170E-004, 8.0615224E-006, 0.0000000E+000, 0.0000000E+000
 1.8849321E-001, 0.0000000E+000, 0.0000000E+000, 7.8639227E-006, 3.2661161E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0900781E-004, 8.1905343E-006, 0.0000000E+000, 0.0000000E+000
 1.9316924E-001, 0.0000000E+000, 0.0000000E+000, 7.9859164E-006, 3.3342191E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1609378E-004, 8.3193383E-006, 0.0000000E+000, 0.0000000E+000
 1.9784525E-001, 0.0000000E+000, 0.0000000E+000, 8.1128825E-006, 3.4041674E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2269923E-004, 8.4532992E-006, 0.0000000E+000, 0.0000000E+000
 2.0252128E-001, 0.0000000E+000, 0.0000000E+000, 8.1870765E-006, 3.4753305E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2805953E-004, 8.5346095E-006, 0.0000000E+000, 0.0000000E+000
 2.0719731E-001, 0.0000000E+000, 0.0000000E+000, 8.2247956E-006, 3.5472886E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3210034E-004, 8.5795244E-006, 0.0000000E+000, 0.0000000E+000
 2.1187334E-001, 0.0000000E+000, 0.0000000E+000, 8.2461296E-006, 3.6204003E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3739141E-004, 8.6081696E-006, 0.0000000E+000, 0.0000000E+000
 2.1654937E-001, 0.0000000E+000, 0.0000000E+000, 8.2600076E-006, 3.6945672E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4257850E-004, 8.6294643E-006, 0.0000000E+000, 0.0000000E+000
 2.2122540E-001, 0.0000000E+000, 0.0000000E+000, 8.2756626E-006, 3.7696270E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4744149E-004, 8.6526253E-006, 0.0000000E+000, 0.0000000E+000
 2.2590142E-001, 0.0000000E+000, 0.0000000E+000, 8.2751312E-006, 3.8455919E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5282075E-004, 8.6596903E-006, 0.0000000E+000, 0.0000000E+000
 2.3057745E-001, 0.0000000E+000, 0.0000000E+000, 8.2768137E-006, 3.9223135E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5774571E-004, 8.6690451E-006, 0.0000000E+000, 0.0000000E+000
 2.3525348E-001, 0.0000000E+000, 0.0000000E+000, 8.2624426E-006, 3.9998269E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6318829E-004, 8.6624253E-006, 0.0000000E+000, 0.0000000E+000
 2.3992950E-001, 0.0000000E+000, 0.0000000E+000, 8.2413197E-006, 4.0780916E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6853247E-004, 8.6491288E-006, 0.0000000E+000, 0.0000000E+000
 2.4460553E-001, 0.0000000E+000, 0.0000000E+000, 8.2229909E-006, 4.1570177E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7355791E-004, 8.6386926E-006, 0.0000000E+000, 0.0000000E+000
 2.4928156E-001, 0.0000000E+000, 0.0000000E+000, 8.1888221E-006, 4.2366885E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7910534E-004, 8.6124909E-006, 0.0000000E+000, 0.0000000E+000
 2.5395760E-001, 0.0000000E+000, 0.0000000E+000, 8.5389854E-006, 4.3202249E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8947468E-004, 8.9710078E-006, 0.0000000E+000, 0.0000000E+000
 2.5802821E-001, 0.0000000E+000, 0.0000000E+000, 8.9223874E-006, 4.3927343E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9705173E-004, 9.3616609E-006, 0.0000000E+000, 0.0000000E+000
 2.6209885E-001, 0.0000000E+000, 0.0000000E+000, 9.3075106E-006, 4.4667629E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0411203E-004, 9.7541869E-006, 0.0000000E+000, 0.0000000E+000
 2.6616949E-001, 0.0000000E+000, 0.0000000E+000, 9.7137351E-006, 4.5417620E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1206047E-004, 1.0167911E-005, 0.0000000E+000, 0.0000000E+000
 2.7024013E-001, 0.0000000E+000, 0.0000000E+000, 1.0122385E-005, 4.6173819E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1914698E-004, 1.0584123E-005, 0.0000000E+000, 0.0000000E+000
 2.7431077E-001, 0.0000000E+000, 0.0000000E+000, 1.0553496E-005, 4.6938153E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2711929E-004, 1.1022878E-005, 0.0000000E+000, 0.0000000E+000
 2.7838141E-001, 0.0000000E+000, 0.0000000E+000, 1.0987502E-005, 4.7707151E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3423182E-004, 1.1464573E-005, 0.0000000E+000, 0.0000000E+000
 2.8245205E-001, 0.0000000E+000, 0.0000000E+000, 1.1434635E-005, 4.8480908E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4162065E-004, 1.1919444E-005, 0.0000000E+000, 0.0000000E+000
 2.8652269E-001, 0.0000000E+000, 0.0000000E+000, 1.1906373E-005, 4.9260446E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4963702E-004, 1.2398977E-005, 0.0000000E+000, 0.0000000E+000
 2.9059333E-001, 0.0000000E+000, 0.0000000E+000, 1.2381705E-005, 5.0042663E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5679668E-004, 1.2882132E-005, 0.0000000E+000, 0.0000000E+000
 2.9466397E-001, 0.0000000E+000, 0.0000000E+000, 1.2883115E-005, 5.0829941E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6484754E-004, 1.3391414E-005, 0.0000000E+000, 0.0000000E+000
 2.9873458E-001, 0.0000000E+000, 0.0000000E+000, 1.3388598E-005, 5.1619684E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7204497E-004, 1.3904795E-005, 0.0000000E+000, 0.0000000E+000
