s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000, 1.2449460E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2449460E-016, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-6.5074027E-011,-3.6992831E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5405266E-009,-3.7643572E-009, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-1.0062141E-010,-5.1913558E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8746153E-009,-5.2919772E-009, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-1.1495413E-010,-4.4265397E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8926208E-009,-4.5414939E-009, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-1.2998450E-010,-2.0154045E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7046214E-009,-2.1453890E-009, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-1.7541303E-010, 1.0640007E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2150023E-008, 8.8858771E-010, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-2.8203276E-010, 3.8036170E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9429499E-008, 3.5215842E-009, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-4.7548904E-010, 5.4723029E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2684910E-008, 4.9968139E-009, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-7.7206784E-010, 5.8032032E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3637899E-008, 5.0311354E-009, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-1.1773122E-009, 5.0178857E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3367580E-008, 3.8405735E-009, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-1.6873104E-009, 3.6994744E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2225664E-007, 2.0121640E-009, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-2.2917091E-009, 2.5731018E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7008107E-007, 2.8139272E-010, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-2.9771261E-009, 2.2736837E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2617957E-007,-7.0344240E-010, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-3.7297456E-009, 3.1743155E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8962656E-007,-5.5543006E-010, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-4.5363779E-009, 5.3184912E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5934622E-007, 7.8211327E-010, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-5.3839494E-009, 8.4588996E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3414172E-007, 3.0749501E-009, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-6.2578808E-009, 1.2175672E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1264659E-007, 5.9177913E-009, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-7.1401914E-009, 1.6024319E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9323487E-007, 8.8841273E-009, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-8.0081544E-009, 1.9663540E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7393945E-007, 1.1655385E-008, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-8.8340481E-009, 2.2928980E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5242197E-007, 1.4094932E-008, 0.0000000E+000, 0.0000000E+000
 8.2480520E-002, 0.0000000E+000, 0.0000000E+000,-8.5699064E-009, 2.5053545E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6920961E-007, 1.6483639E-008, 0.0000000E+000, 0.0000000E+000
 8.5904099E-002, 0.0000000E+000, 0.0000000E+000,-9.0782889E-009, 2.6953902E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9621081E-007, 1.7875613E-008, 0.0000000E+000, 0.0000000E+000
 8.9327678E-002, 0.0000000E+000, 0.0000000E+000,-9.4518402E-009, 2.8938321E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3885911E-007, 1.9486481E-008, 0.0000000E+000, 0.0000000E+000
 9.2335582E-002, 0.0000000E+000, 0.0000000E+000,-8.4934040E-009, 3.0558386E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0127395E-007, 2.2064982E-008, 0.0000000E+000, 0.0000000E+000
 9.5343493E-002, 0.0000000E+000, 0.0000000E+000,-8.4553060E-009, 3.2195660E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7615113E-007, 2.3740354E-008, 0.0000000E+000, 0.0000000E+000
 9.8351404E-002, 0.0000000E+000, 0.0000000E+000,-8.2498255E-009, 3.3850059E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6864594E-007, 2.5600234E-008, 0.0000000E+000, 0.0000000E+000
 1.0135931E-001, 0.0000000E+000, 0.0000000E+000,-7.8751623E-009, 3.5375218E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4605894E-007, 2.7500056E-008, 0.0000000E+000, 0.0000000E+000
 1.0398635E-001, 0.0000000E+000, 0.0000000E+000,-6.0553422E-009, 3.6073039E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3146203E-007, 3.0017696E-008, 0.0000000E+000, 0.0000000E+000
 1.0661340E-001, 0.0000000E+000, 0.0000000E+000,-5.3866352E-009, 3.6291835E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4154937E-007, 3.0905200E-008, 0.0000000E+000, 0.0000000E+000
 1.0924044E-001, 0.0000000E+000, 0.0000000E+000,-4.5973037E-009, 3.6156482E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7807128E-007, 3.1559178E-008, 0.0000000E+000, 0.0000000E+000
 1.1186748E-001, 0.0000000E+000, 0.0000000E+000,-3.7040197E-009, 3.5654278E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0408712E-007, 3.1950258E-008, 0.0000000E+000, 0.0000000E+000
 1.1449452E-001, 0.0000000E+000, 0.0000000E+000,-2.7265872E-009, 3.4807135E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2118365E-007, 3.2080548E-008, 0.0000000E+000, 0.0000000E+000
 1.1680362E-001, 0.0000000E+000, 0.0000000E+000,-9.3442439E-010, 3.3609395E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8284628E-007, 3.2674970E-008, 0.0000000E+000, 0.0000000E+000
 1.1911273E-001, 0.0000000E+000, 0.0000000E+000, 1.6396227E-011, 3.2147690E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2512101E-008, 3.2164086E-008, 0.0000000E+000, 0.0000000E+000
 1.2142183E-001, 0.0000000E+000, 0.0000000E+000, 9.6446508E-010, 3.0523460E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3437042E-008, 3.1487925E-008, 0.0000000E+000, 0.0000000E+000
 1.2373094E-001, 0.0000000E+000, 0.0000000E+000, 1.8854484E-009, 2.8742858E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8496231E-008, 3.0628306E-008, 0.0000000E+000, 0.0000000E+000
 1.2604003E-001, 0.0000000E+000, 0.0000000E+000, 2.7556391E-009, 2.6812402E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8049816E-007, 2.9568041E-008, 0.0000000E+000, 0.0000000E+000
 1.2834914E-001, 0.0000000E+000, 0.0000000E+000, 3.5528105E-009, 2.4743764E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5735596E-007, 2.8296574E-008, 0.0000000E+000, 0.0000000E+000
 1.3040212E-001, 0.0000000E+000, 0.0000000E+000, 4.1262187E-009, 2.2816089E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2298639E-007, 2.6942307E-008, 0.0000000E+000, 0.0000000E+000
 1.3245511E-001, 0.0000000E+000, 0.0000000E+000, 4.6021369E-009, 2.0840696E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7267714E-007, 2.5442833E-008, 0.0000000E+000, 0.0000000E+000
 1.3450809E-001, 0.0000000E+000, 0.0000000E+000, 4.9635402E-009, 1.8841536E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1293554E-007, 2.3805077E-008, 0.0000000E+000, 0.0000000E+000
 1.3656108E-001, 0.0000000E+000, 0.0000000E+000, 5.2036927E-009, 1.6859879E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4272664E-007, 2.2063572E-008, 0.0000000E+000, 0.0000000E+000
 1.3861406E-001, 0.0000000E+000, 0.0000000E+000, 5.3196536E-009, 1.4942130E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6153856E-007, 2.0261784E-008, 0.0000000E+000, 0.0000000E+000
 1.4066705E-001, 0.0000000E+000, 0.0000000E+000, 5.3122440E-009, 1.3133902E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6919688E-007, 1.8446146E-008, 0.0000000E+000, 0.0000000E+000
 1.4272003E-001, 0.0000000E+000, 0.0000000E+000, 5.1858994E-009, 1.1475057E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6586143E-007, 1.6660956E-008, 0.0000000E+000, 0.0000000E+000
 1.4477302E-001, 0.0000000E+000, 0.0000000E+000, 4.9484207E-009, 9.9962057E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5201221E-007, 1.4944626E-008, 0.0000000E+000, 0.0000000E+000
 1.4659859E-001, 0.0000000E+000, 0.0000000E+000, 3.9499374E-009, 9.0105604E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8885128E-007, 1.2960498E-008, 0.0000000E+000, 0.0000000E+000
 1.4842418E-001, 0.0000000E+000, 0.0000000E+000, 3.5407222E-009, 8.2591941E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3717897E-007, 1.1799916E-008, 0.0000000E+000, 0.0000000E+000
 1.5024975E-001, 0.0000000E+000, 0.0000000E+000, 3.0752974E-009, 7.6598129E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9914791E-007, 1.0735110E-008, 0.0000000E+000, 0.0000000E+000
 1.5207532E-001, 0.0000000E+000, 0.0000000E+000, 2.5697626E-009, 7.2094022E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5648203E-007, 9.7791648E-009, 0.0000000E+000, 0.0000000E+000
 1.5390089E-001, 0.0000000E+000, 0.0000000E+000, 2.0410231E-009, 6.9066946E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1065114E-007, 8.9477177E-009, 0.0000000E+000, 0.0000000E+000
 1.5572648E-001, 0.0000000E+000, 0.0000000E+000, 1.5062060E-009, 6.7511388E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6317890E-007, 8.2573448E-009, 0.0000000E+000, 0.0000000E+000
 1.5755205E-001, 0.0000000E+000, 0.0000000E+000, 9.8206792E-010, 6.7408212E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1559115E-007, 7.7228892E-009, 0.0000000E+000, 0.0000000E+000
 1.5937762E-001, 0.0000000E+000, 0.0000000E+000, 4.8442360E-010, 6.8699306E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9364354E-008, 7.3543542E-009, 0.0000000E+000, 0.0000000E+000
 1.6120319E-001, 0.0000000E+000, 0.0000000E+000, 2.7630524E-011, 7.1267433E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5877276E-008, 7.1543738E-009, 0.0000000E+000, 0.0000000E+000
 1.6302876E-001, 0.0000000E+000, 0.0000000E+000,-3.7584313E-010, 7.4928347E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3632039E-008, 7.1169916E-009, 0.0000000E+000, 0.0000000E+000
 1.6466713E-001, 0.0000000E+000, 0.0000000E+000,-7.6140265E-010, 7.9267727E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2781961E-008, 7.1653700E-009, 0.0000000E+000, 0.0000000E+000
 1.6630550E-001, 0.0000000E+000, 0.0000000E+000,-9.6823738E-010, 8.4080724E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8864358E-008, 7.4398350E-009, 0.0000000E+000, 0.0000000E+000
 1.6794387E-001, 0.0000000E+000, 0.0000000E+000,-1.1048837E-009, 8.8901414E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5543149E-008, 7.7852577E-009, 0.0000000E+000, 0.0000000E+000
 1.6958223E-001, 0.0000000E+000, 0.0000000E+000,-1.1699721E-009, 9.3499506E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0588299E-007, 8.1799786E-009, 0.0000000E+000, 0.0000000E+000
 1.7122060E-001, 0.0000000E+000, 0.0000000E+000,-1.1642833E-009, 9.7705190E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0981516E-007, 8.6062357E-009, 0.0000000E+000, 0.0000000E+000
 1.7285897E-001, 0.0000000E+000, 0.0000000E+000,-1.0906309E-009, 1.0140293E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0746331E-007, 9.0496618E-009, 0.0000000E+000, 0.0000000E+000
 1.7449732E-001, 0.0000000E+000, 0.0000000E+000,-9.5369406E-010, 1.0451585E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9130829E-008, 9.4978908E-009, 0.0000000E+000, 0.0000000E+000
 1.7613569E-001, 0.0000000E+000, 0.0000000E+000,-7.5980249E-010, 1.0698613E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5283621E-008, 9.9388103E-009, 0.0000000E+000, 0.0000000E+000
 1.7777406E-001, 0.0000000E+000, 0.0000000E+000,-5.1667331E-010, 1.0875885E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6528443E-008, 1.0359211E-008, 0.0000000E+000, 0.0000000E+000
 1.7941242E-001, 0.0000000E+000, 0.0000000E+000,-2.3310278E-010, 1.0977439E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3587248E-008, 1.0744336E-008, 0.0000000E+000, 0.0000000E+000
 1.8105079E-001, 0.0000000E+000, 0.0000000E+000, 8.1374850E-011, 1.0997071E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7268335E-008, 1.1078446E-008, 0.0000000E+000, 0.0000000E+000
 1.8268916E-001, 0.0000000E+000, 0.0000000E+000, 4.1684554E-010, 1.0929370E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1564586E-008, 1.1346215E-008, 0.0000000E+000, 0.0000000E+000
 1.8432751E-001, 0.0000000E+000, 0.0000000E+000, 7.6336907E-010, 1.0771067E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2023843E-008, 1.1534436E-008, 0.0000000E+000, 0.0000000E+000
 1.8579955E-001, 0.0000000E+000, 0.0000000E+000, 1.1736750E-009, 1.0542262E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8083329E-008, 1.1715937E-008, 0.0000000E+000, 0.0000000E+000
