s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-6.1188788E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1188788E-002, 0.0000000E+000, 0.0000000E+000
 1.5811388E-001, 3.4063208E+002,-7.2522741E-003, 5.6947771E+000, 1.0432713E-006,-8.0455739E-003, 0.0000000E+000, 0.0000000E+000,-9.9826416E-002, 3.4631156E+002, 2.7371691E-002, 2.7371691E-002
 3.1622776E-001, 1.1603000E+003,-2.8384605E+001, 1.8849833E+001,-1.4130373E+000,-9.4321966E-002, 0.0000000E+000, 0.0000000E+000, 3.4450352E+002, 1.1492579E+003, 5.3429593E-002, 5.3429593E-002
 4.7434166E-001, 2.1541653E+003,-8.3353892E+002, 2.0293943E+001,-1.1314488E+001,-1.4522130E-001, 0.0000000E+000, 0.0000000E+000, 1.0754718E+003, 1.3294606E+003, 7.7100603E-002, 7.7100603E-002
 6.3245553E-001, 2.3267136E+003,-4.4557421E+003,-2.8977283E+001,-2.6490004E+001,-2.0733564E-001, 0.0000000E+000, 0.0000000E+000, 1.2723862E+003,-2.1847032E+003, 9.7704977E-002, 9.7704977E-002
 6.7010498E-001, 1.5062554E+003,-7.1100304E+001, 2.1005899E+001,-1.4384574E+001,-2.3602956E-001, 0.0000000E+000, 0.0000000E+000,-2.1429188E+003, 1.4415404E+003, 1.0212263E-001, 1.0212263E-001
 7.1151936E-001, 1.0296611E+003,-4.9530394E+002, 7.7719466E+000,-1.8033761E+001,-2.6659517E-001, 0.0000000E+000, 0.0000000E+000, 1.4112371E+003, 5.2382872E+002, 1.0676223E-001, 1.0676223E-001
 7.5707519E-001, 9.0536252E+002,-1.1059347E+002, 1.1287774E+001,-1.7316124E+001,-2.6586761E-001, 0.0000000E+000, 0.0000000E+000, 5.3134170E+002, 7.8847483E+002, 1.1160126E-001, 1.1160126E-001
 8.0718660E-001, 9.6120997E+002,-1.6472881E+002, 1.1296683E+001,-1.7574361E+001,-2.8233933E-001, 0.0000000E+000, 0.0000000E+000, 7.8315708E+002, 7.8992114E+002, 1.1660823E-001, 1.1660823E-001
 8.6230916E-001, 1.1322990E+003,-2.5738554E+002, 1.2557145E+001,-1.7423879E+001,-2.9464625E-001, 0.0000000E+000, 0.0000000E+000, 7.8576450E+002, 8.6975211E+002, 1.2174189E-001, 1.2174189E-001
 9.2294395E-001, 1.3103482E+003,-2.1879660E+002, 1.5938880E+001,-1.7243447E+001,-3.0822320E-001, 0.0000000E+000, 0.0000000E+000, 8.6325901E+002, 1.0899388E+003, 1.2695087E-001, 1.2695087E-001
 9.8357874E-001, 1.5605091E+003,-2.9926393E+002, 1.8499202E+001,-1.7638110E+001,-3.1996558E-001, 0.0000000E+000, 0.0000000E+000, 1.0818766E+003, 1.2617863E+003, 1.3172035E-001, 1.3172035E-001
 1.0352559E+000, 1.9365790E+003,-3.9196938E+002, 2.2567880E+001,-1.8250829E+001,-3.2925367E-001, 0.0000000E+000, 0.0000000E+000, 1.2553821E+003, 1.5485974E+003, 1.3545525E-001, 1.3545525E-001
 1.0808247E+000, 2.2455585E+003,-5.2766178E+002, 2.4885646E+001,-1.9472754E+001,-3.3650145E-001, 0.0000000E+000, 0.0000000E+000, 1.5412750E+003, 1.7229731E+003, 1.3850942E-001, 1.3850942E-001
 1.1263936E+000, 2.1304810E+003,-5.2236959E+002, 2.3002557E+001,-2.0497715E+001,-3.4357579E-001, 0.0000000E+000, 0.0000000E+000, 1.7155429E+003, 1.6102726E+003, 1.4135056E-001, 1.4135056E-001
 1.1648918E+000, 2.2006843E+003,-5.8301625E+002, 2.3144391E+001,-2.1114193E+001,-3.5087317E-001, 0.0000000E+000, 0.0000000E+000, 1.6036762E+003, 1.6193474E+003, 1.4359295E-001, 1.4359295E-001
 1.1990163E+000, 2.4244429E+003,-3.5073499E+002, 2.9330312E+001,-2.1708486E+001,-3.5710970E-001, 0.0000000E+000, 0.0000000E+000, 1.6137919E+003, 2.0809727E+003, 1.4546532E-001, 1.4546532E-001
 1.2331408E+000, 2.7494983E+003,-6.9735422E+002, 2.9311558E+001,-2.3285976E+001,-3.6209379E-001, 0.0000000E+000, 0.0000000E+000, 2.0669157E+003, 2.0578076E+003, 1.4723419E-001, 1.4723419E-001
 1.2672653E+000, 2.7341339E+003,-6.9869622E+002, 2.9487068E+001,-2.4161717E+001,-3.6717388E-001, 0.0000000E+000, 0.0000000E+000, 2.0481625E+003, 2.0403958E+003, 1.4890411E-001, 1.4890411E-001
 1.3013898E+000, 2.8243709E+003,-1.0206261E+003, 2.7039357E+001,-2.4358886E+001,-3.7264204E-001, 0.0000000E+000, 0.0000000E+000, 2.0334346E+003, 1.8060526E+003, 1.5047959E-001, 1.5047959E-001
 1.3355143E+000, 2.8031325E+003,-8.6841955E+002, 2.8793193E+001,-2.3464797E+001,-3.7907130E-001, 0.0000000E+000, 0.0000000E+000, 1.8057187E+003, 1.9396622E+003, 1.5196506E-001, 1.5196506E-001
 1.3696387E+000, 3.2536313E+003,-8.5900934E+002, 3.5083540E+001,-2.3177380E+001,-3.8601982E-001, 0.0000000E+000, 0.0000000E+000, 1.9280137E+003, 2.4061421E+003, 1.5336485E-001, 1.5336485E-001
 1.3994685E+000, 3.5175244E+003,-9.6948922E+002, 3.7458208E+001,-2.4301825E+001,-3.9088895E-001, 0.0000000E+000, 0.0000000E+000, 2.3900767E+003, 2.5608007E+003, 1.5452160E-001, 1.5452160E-001
 1.4292984E+000, 3.5459998E+003,-1.0338941E+003, 3.7117788E+001,-2.4956071E+001,-3.9536529E-001, 0.0000000E+000, 0.0000000E+000, 2.5501164E+003, 2.5238721E+003, 1.5561885E-001, 1.5561885E-001
 1.4591281E+000, 3.5777168E+003,-1.0574222E+003, 3.7537218E+001,-2.5206916E+001,-3.9985363E-001, 0.0000000E+000, 0.0000000E+000, 2.5185890E+003, 2.5322250E+003, 1.5665926E-001, 1.5665926E-001
 1.4889580E+000, 3.9996507E+003,-9.0741237E+002, 4.5086526E+001,-2.5597158E+001,-4.0413246E-001, 0.0000000E+000, 0.0000000E+000, 2.5197441E+003, 3.1113236E+003, 1.5764544E-001, 1.5764544E-001
 1.5187879E+000, 3.9517108E+003,-1.1090477E+003, 4.2117444E+001,-2.7588112E+001,-4.0658624E-001, 0.0000000E+000, 0.0000000E+000, 3.0896737E+003, 2.8567858E+003, 1.5857989E-001, 1.5857989E-001
 1.5486176E+000, 4.3176933E+003,-1.2869125E+003, 4.4901018E+001,-2.7573858E+001,-4.0989727E-001, 0.0000000E+000, 0.0000000E+000, 2.8557147E+003, 3.0476980E+003, 1.5946504E-001, 1.5946504E-001
