s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 0.0000000E+000, 1.9784627E-003, 4.3368087E-019, 1.0000000E+000
 2.5000000E-001, 1.2435300E-001, 1.2435300E-001, 1.3877788E-017, 1.0000000E+001
 3.7500000E-001, 2.4491866E-001, 2.4491866E-001, 5.5511151E-017, 1.0000000E+001
 5.0000000E-001, 3.5835740E-001, 3.5835740E-001, 1.1102230E-016, 1.0000000E+001
 6.2500000E-001, 4.6211716E-001, 4.6211716E-001, 1.1102230E-016, 1.0000000E+001
 7.5000000E-001, 5.5459972E-001, 5.5459972E-001, 1.1102230E-016, 1.0000000E+001
 8.7500000E-001, 6.3514895E-001, 6.3514895E-001, 1.1102230E-016, 1.0000000E+001
 1.0000000E+000, 7.0390560E-001, 7.0390560E-001, 1.1102230E-016, 1.0000000E+001
 1.1250000E+000, 7.6159416E-001, 7.6159416E-001, 1.1102230E-016, 1.0000000E+001
 1.2500000E+000, 8.0930107E-001, 8.0930107E-001, 1.1102230E-016, 1.0000000E+001
 1.3750000E+000, 8.4828364E-001, 8.4828364E-001, 1.1102230E-016, 4.0000000E+000
 1.5000000E+000, 8.7982670E-001, 8.7982670E-001, 1.1102230E-016, 4.0000000E+000
 1.6250000E+000, 9.0514825E-001, 9.0514825E-001, 2.2204460E-016, 1.0000000E+000
 1.7500000E+000, 9.2534623E-001, 9.2534623E-001, 2.2204460E-016, 1.0000000E+000
 1.8750000E+000, 9.4137554E-001, 9.4137554E-001, 2.2204460E-016, 1.0000000E+000
 2.0000000E+000, 9.5404526E-001, 9.5404526E-001, 2.2204460E-016, 1.0000000E+000
 2.1250000E+000, 9.6402758E-001, 9.6402758E-001, 2.2204460E-016, 1.0000000E+000
 2.2500000E+000, 9.7187275E-001, 9.7187275E-001, 2.2204460E-016, 1.0000000E+000
 2.3620559E+000, 9.7802611E-001, 9.7802611E-001, 2.2204460E-016, 1.0000000E+000
 2.4741118E+000, 9.8239908E-001, 9.8239908E-001, 2.2204460E-016, 1.0000000E+000
 2.5861677E+000, 9.8590799E-001, 9.8590799E-001, 2.2204460E-016, 1.0000000E+000
 2.6982236E+000, 9.8872135E-001, 9.8872135E-001, 2.2204460E-016, 1.0000000E+000
 2.8102795E+000, 9.9097559E-001, 9.9097559E-001, 2.2204460E-016, 1.0000000E+000
 2.9223354E+000, 9.9278092E-001, 9.9278092E-001, 2.2204460E-016, 1.0000000E+000
 3.0343913E+000, 9.9422614E-001, 9.9422614E-001, 2.2204460E-016, 1.0000000E+000
 3.1464472E+000, 9.9538271E-001, 9.9538271E-001, 2.2204460E-016, 1.0000000E+000
 3.2585031E+000, 9.9630803E-001, 9.9630803E-001, 2.2204460E-016, 1.0000000E+000
 3.3705590E+000, 9.9704819E-001, 9.9704819E-001, 2.2204460E-016, 1.0000000E+000
 3.4826149E+000, 9.9764014E-001, 9.9764014E-001, 2.2204460E-016, 1.0000000E+000
 3.5819266E+000, 9.9811349E-001, 9.9811349E-001, 2.2204460E-016, 1.0000000E+000
 3.6812383E+000, 9.9845307E-001, 9.9845307E-001, 2.2204460E-016, 1.0000000E+000
 3.7805501E+000, 9.9873156E-001, 9.9873156E-001, 2.2204460E-016, 1.0000000E+000
 3.8798618E+000, 9.9895994E-001, 9.9895994E-001, 2.2204460E-016, 1.0000000E+000
 3.9791735E+000, 9.9914721E-001, 9.9914721E-001, 2.2204460E-016, 1.0000000E+000
 4.0784852E+000, 9.9930078E-001, 9.9930078E-001, 2.2204460E-016, 1.0000000E+000
 4.1777969E+000, 9.9942670E-001, 9.9942670E-001, 2.2204460E-016, 1.0000000E+000
 4.2771086E+000, 9.9952995E-001, 9.9952995E-001, 2.2204460E-016, 1.0000000E+000
 4.3764204E+000, 9.9961461E-001, 9.9961461E-001, 2.2204460E-016, 1.0000000E+000
 4.4757321E+000, 9.9968403E-001, 9.9968403E-001, 2.2204460E-016, 1.0000000E+000
 4.5750438E+000, 9.9974094E-001, 9.9974094E-001, 2.2204460E-016, 1.0000000E+000
 4.6743555E+000, 9.9978760E-001, 9.9978760E-001, 2.2204460E-016, 1.0000000E+000
 4.7736672E+000, 9.9982586E-001, 9.9982586E-001, 2.2204460E-016, 1.0000000E+000
 4.8729789E+000, 9.9985723E-001, 9.9985723E-001, 2.2204460E-016, 1.0000000E+000
 4.9722907E+000, 9.9988295E-001, 9.9988295E-001, 2.2204460E-016, 1.0000000E+000
 5.0716024E+000, 9.9990403E-001, 9.9990403E-001, 2.2204460E-016, 1.0000000E+000
 5.1709141E+000, 9.9992132E-001, 9.9992132E-001, 4.4408921E-016, 1.0000000E+000
 5.2702258E+000, 9.9993549E-001, 9.9993549E-001, 2.2204460E-016, 1.0000000E+000
 5.3695375E+000, 9.9994711E-001, 9.9994711E-001, 2.2204460E-016, 1.0000000E+000
 5.4688492E+000, 9.9995664E-001, 9.9995664E-001, 2.2204460E-016, 1.0000000E+000
