s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6394955E-003, 2.9302871E-001, 0.0000000E+000, 3.5227422E-002, 1.6785228E+001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2789910E-003, 2.9156357E-001, 0.0000000E+000, 3.5399515E-002,-9.3712630E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9184865E-003, 2.9000405E-001, 0.0000000E+000, 3.5570853E-002,-9.6265890E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0557982E-002, 2.8834730E-001, 0.0000000E+000, 3.5742593E-002,-9.8870996E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3461427E-002, 2.8640989E-001, 0.0000000E+000, 3.5932067E-002,-1.0142600E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6364872E-002, 2.8434932E-001, 0.0000000E+000, 3.6122163E-002,-1.0433771E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9558662E-002, 2.8193823E-001, 0.0000000E+000, 3.6331996E-002,-1.0716568E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2752451E-002, 2.7937388E-001, 0.0000000E+000, 3.6542532E-002,-1.1037298E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6265620E-002, 2.7637521E-001, 0.0000000E+000, 3.6774834E-002,-1.1344658E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9778788E-002, 2.7319000E-001, 0.0000000E+000, 3.7007717E-002,-1.1691011E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3643274E-002, 2.6947243E-001, 0.0000000E+000, 3.7264347E-002,-1.2017530E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7507759E-002, 2.6553362E-001, 0.0000000E+000, 3.7521191E-002,-1.2382969E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1372245E-002, 2.6137798E-001, 0.0000000E+000, 3.7777987E-002,-1.2737900E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5236730E-002, 2.5701109E-001, 0.0000000E+000, 3.8034482E-002,-1.3081087E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.9487664E-002, 2.5197150E-001, 0.0000000E+000, 3.8316003E-002,-1.3393959E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3738598E-002, 2.4371470E-001, 0.0000000E+000, 3.8020654E-002,-2.4555629E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7989532E-002, 2.3502227E-001, 0.0000000E+000, 3.7658972E-002,-2.5734638E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2240466E-002, 2.2622288E-001, 0.0000000E+000, 3.7287655E-002,-2.5779385E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6916493E-002, 2.1632789E-001, 0.0000000E+000, 3.6844921E-002,-2.6161061E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.1592520E-002, 2.0636425E-001, 0.0000000E+000, 3.6390022E-002,-2.6139576E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6268547E-002, 1.9650940E-001, 0.0000000E+000, 3.5951763E-002,-2.5594947E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0944575E-002, 1.8648902E-001, 0.0000000E+000, 3.5472997E-002,-2.6017768E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5620602E-002, 1.7663179E-001, 0.0000000E+000, 3.5011058E-002,-2.5416827E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0296629E-002, 1.6666089E-001, 0.0000000E+000, 3.4508910E-002,-2.5787795E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
